param,gene,rhat,ess_bulk,ess_tail,rhat_issue,ess_issue
beta,ARV1,1.0015419178513132,4792.777516398658,1645.2386985061275,False,False
beta,CTCF,1.0001545862344141,4117.701110839636,1838.1637574397819,False,False
beta,ZNF382,1.0003327750580149,5340.974442873786,1896.5540365030863,False,False
beta,AFF2,1.0015602348548558,3820.2551247543274,1999.3479458201182,False,False
beta,ADHFE1,1.0020849920706605,4031.7196369525527,1858.6154706458856,False,False
beta,MED9,1.0029551942359962,3600.1026280866763,1667.3130641314556,False,False
beta,PPIA,1.0015252944564008,4896.322401002405,1917.1719464288224,False,False
beta,SH3D21,1.0002289690651398,4961.012193241215,1683.379388773869,False,False
beta,HIPK3,1.0000667807322248,4540.409392911303,1713.1143829997184,False,False
beta,CEP192,1.001560440194268,5472.6221979834745,1856.917884045755,False,False
beta,OR6K6,1.0039313287009275,3683.052951253947,2080.953652267245,False,False
beta,ZSCAN2,1.0021556890002752,5173.684985713833,1771.5343112004355,False,False
beta,TNFRSF1A,1.0019318164930087,4810.79592823089,1601.1295515513168,False,False
beta,TMEM19,1.0035555339907642,4343.849985308805,2156.897953181882,False,False
beta,RBM4B,1.007504270742133,4970.182577933517,1452.8531643353429,False,False
beta,TRIM10,1.000978781637389,4625.862781177479,1739.856216524591,False,False
beta,KCNIP3,1.0008239066199542,5422.360801862174,1892.7441654892948,False,False
beta,PRLH,1.0028613988527537,5096.5826087513315,1983.5235174351135,False,False
beta,ADCY7,1.0036634790266905,4323.207054294269,1746.6434656009812,False,False
beta,ULK1,1.0000255000841205,5100.016840586846,1701.2929900203685,False,False
beta,BCL2L2-PABPN1,1.0003452079413073,5262.5866132212395,1757.8454975847474,False,False
beta,ZNF143,1.0004515082485161,4646.794294919601,1482.4689490812627,False,False
beta,VPRBP,1.0013833430676247,6148.107726421105,2056.3381055845034,False,False
beta,GOLGA6B,1.0007739309912287,6072.004876012997,1728.6709606588959,False,False
beta,PUS3,0.9999742011528239,4342.339304196425,1627.5935212866043,False,False
beta,MAZ,1.0009619362478066,4646.862149469068,2072.481760293007,False,False
beta,AKAP9,1.0026283692935383,4634.446440327539,1712.5773525912994,False,False
beta,PSMD13,1.002424619527529,4930.173570653469,1740.9369263380368,False,False
beta,SUDS3,1.0017927089178393,3711.001752298092,1519.3643357946305,False,False
beta,SIN3B,1.0016005734327476,4018.2389125892673,2002.914707221058,False,False
beta,MPPED2,1.000433024134836,3822.9176027436297,1955.409967679144,False,False
beta,PPP1R36,1.0006956459195175,3948.5521300049086,1874.9395116406827,False,False
beta,IRAK2,1.0013859182724854,6271.106230177365,1875.9418152147266,False,False
beta,COX7B2,1.0001784763516148,4103.54878942809,1636.2007328040618,False,False
beta,DDAH1,1.0000649958277779,6605.007382822731,1999.4458760053058,False,False
beta,KIAA1671,0.9998508197928848,3956.4009689231834,1729.2446332283125,False,False
beta,LRCOL1,0.9997755701777445,4564.886580562265,1627.550624420796,False,False
beta,PTGER3,1.0021796688250573,4816.9396429958915,1802.1884829833184,False,False
beta,ACAP1,1.0053529722754466,4133.888960390073,2078.36503784653,False,False
beta,TPT1,0.9994735910692786,5001.416627888304,1418.1600061620763,False,False
beta,SLC37A4,1.0017855251000152,4868.735675648052,1884.0972089194431,False,False
beta,DAZAP1,1.0004697229971493,4254.920865541457,1865.6505684205583,False,False
beta,NDUFAF1,1.0025657514986541,4203.061056499065,2093.115872432826,False,False
beta,RBMS3,1.0028034413006348,4432.202351568179,1878.884478264129,False,False
beta,OGFRL1,1.0015991950926502,5228.735706018772,2050.5768307217663,False,False
beta,STX16,0.9999118156119096,5379.806132218391,1584.6417562510244,False,False
beta,ESAM,1.0013463954222717,5067.368551746739,1590.5430294198977,False,False
beta,RGS6,1.0000670466726833,4233.73059408618,1890.6805010753233,False,False
beta,SLBP,0.9995830266883269,4080.659190146294,2417.279543657198,False,False
beta,C19orf52,1.0004198207062018,4311.424696665131,1744.7352712361205,False,False
beta,SPATA2,1.0010731169356746,4944.937940034076,1983.4320185182382,False,False
beta,E2F4,1.0032963614345753,4373.172654532161,1758.031094952664,False,False
beta,ENDOD1,1.003885272606723,3838.4289501362,1831.877811165263,False,False
beta,NAA60,1.0011230887426499,3835.5459652508757,2020.723624119435,False,False
beta,ITGAM,0.9997635648589083,4592.296899075826,2193.1536115413137,False,False
beta,FAR1,1.0013315875559339,4914.536705757368,2070.2569943427743,False,False
beta,ATP1A1,1.0013462106771596,5113.058581352567,2132.5750131356667,False,False
beta,CHD9,0.9999094885564276,4967.376903241727,1910.9093973365852,False,False
beta,PCDHA3,1.003100412496052,4790.478848938976,1903.49005309353,False,False
beta,FOXO3,1.0037224622357834,4496.587664906561,2180.700748950007,False,False
beta,UCHL5,1.005670675368496,4793.673988007072,1621.5533736356717,False,False
beta,EGF,1.0003959368288082,4488.796914727877,1632.6569465693406,False,False
beta,ATP7A,1.0033812714670594,4247.679965497224,1923.2167888463355,False,False
beta,OGFOD3,1.0008918424957576,4317.163834538993,2029.0697129652117,False,False
beta,TSC2,1.0001721339353264,5198.196453166947,1974.048852447055,False,False
beta,KCNQ4,1.001126923975019,4895.002741949553,1811.3325244808336,False,False
beta,BATF3,1.0029820222134085,5300.636624546615,1843.8205036589495,False,False
beta,VIT,1.002566387704229,4817.742877682676,1810.519400483669,False,False
beta,NADK,1.003239717518598,4656.307093245776,1815.2881142222727,False,False
beta,MED15,1.0015854348198294,4823.742789493752,1711.9865326501354,False,False
beta,POLR3A,1.0007281843657143,4775.849505270401,1819.087947092973,False,False
beta,C8orf76,1.0002457468986943,3760.7505436731367,1658.128164469223,False,False
beta,LRRC41,1.0008963078627693,3892.562582389707,1824.6695095448863,False,False
beta,MFNG,1.0025129366530265,4411.037663749728,1842.7190508779988,False,False
beta,LYRM4,1.0039849888052066,4504.4641646990485,1996.4598026906028,False,False
beta,HIST1H2AM,1.0025369092066978,4542.344481231439,1666.5786868335072,False,False
beta,WASH1,1.0032823731023974,4385.5849726417355,1730.4831286957965,False,False
beta,PRRX1,0.9999106250672654,4917.984171729756,2155.499581836162,False,False
beta,SMYD3,1.0048482452755567,4207.841040193709,1894.6952776559776,False,False
beta,SSC5D,1.0078323662884205,4853.5781714752375,2179.83720069979,False,False
beta,LOC388849,1.0035806667573006,3415.2039225058734,1912.5285791131364,False,False
beta,TBC1D3C,1.000101423752965,4996.204346261933,1703.2389529762902,False,False
beta,TMPRSS7,1.0006348137502856,4293.051892452384,1989.9291626258507,False,False
beta,EIF3A,1.0008049215762649,4744.484704855559,1342.8623814620112,False,False
beta,RSU1,1.0016770325007918,3537.1200100300107,1643.5112849104964,False,False
beta,RTEL1,1.0034879291564496,4085.1804662046034,1856.3796850271517,False,False
beta,INTS7,1.0016796750097758,5333.65008608875,2156.138656128494,False,False
beta,RPL19,1.0014466090725755,3556.270038770484,1781.216143621446,False,False
beta,SHARPIN,1.0036210326948813,4216.732838045024,2023.3005150712816,False,False
beta,EGR4,0.9995768091309689,4753.38041222837,2037.764465728735,False,False
beta,STK40,1.0024409303435815,4625.076715922638,1620.8961764928042,False,False
beta,FAM45A,1.000639969161094,4215.216992735695,1518.3060862190919,False,False
beta,CREBRF,1.0010532941404668,3754.3470787655724,1634.6325321179695,False,False
beta,CDK5R1,1.0006127991923561,3831.733107485159,1598.8832096670983,False,False
beta,IL10RA,1.0012239090387467,3520.046438759697,1596.3119870107676,False,False
beta,POLN,1.0024798651005575,4877.8013026943345,1670.4279922644337,False,False
beta,DOK4,1.003731350668762,5139.156023486612,2103.0275624329624,False,False
beta,BPIFA3,0.9997845386622959,4867.811361494229,2085.2412464703966,False,False
beta,C9orf16,0.9998221797271217,5759.051548749246,1711.801201370667,False,False
beta,EPHB3,1.0001245749322532,4816.308126268015,1853.471283452317,False,False
beta,KRBOX4,1.0015806122287296,5072.980027721927,2098.183841542726,False,False
beta,VWA9,1.002351015265387,4157.975985615489,1721.5701894758622,False,False
beta,DOCK7,1.0021817558126882,3424.7405181686568,1971.969684212511,False,False
beta,PTK2B,1.0007909459765536,4080.246483114065,1850.546380142132,False,False
beta,SQLE,1.0001955876073705,4682.523328208988,1594.9621772792473,False,False
beta,VIPAS39,1.0014610512082993,5240.030236461801,1753.6378069031546,False,False
beta,PSMD4,1.0029037919906938,4468.028004135542,1873.4496507009492,False,False
beta,SERINC2,1.0034053468692177,5156.984903211129,1646.7193720649293,False,False
beta,TRIM22,0.9999644849485393,4487.1476464721,1858.1903777643613,False,False
beta,JADE2,1.001103637090329,5225.240746710842,1861.5810716272615,False,False
beta,PRKAB2,1.000864961056373,5555.294770373417,2123.163542857223,False,False
beta,CANX,1.0040532277692678,4879.129318945248,1893.3936681916894,False,False
beta,ASB11,0.9999347553487121,4105.349347090298,2012.9755905983695,False,False
beta,EMCN,1.0008580868925263,4833.218871769202,2114.212356915727,False,False
beta,C11orf80,1.0009851419949223,5368.742900303542,1765.6887910363366,False,False
beta,EIF3J,1.0009019553166298,5412.229771212453,1861.8976264332548,False,False
beta,PHOX2B,1.0007684856154646,3940.4187343235862,1523.9612699599093,False,False
beta,NPHP3,1.0018864634814686,4702.79776992616,1582.3505594346818,False,False
beta,PNPLA2,1.001170102947387,5939.288957966851,1883.358620737334,False,False
beta,TMTC3,1.0017613327761876,4730.904056670659,1771.3480183507274,False,False
beta,ZMYM3,1.0006954424535464,5588.42880671125,2065.250388900671,False,False
beta,MADD,1.0007277679772473,5256.18856524419,1919.9275412501424,False,False
beta,KIAA1107,1.0009300922234052,5005.152435282599,2023.9114886419466,False,False
beta,YPEL3,1.0011400126290981,4708.564326655372,1870.898136500736,False,False
beta,CAMLG,1.0017848581637638,4372.260251732711,1849.4545581537611,False,False
beta,C3orf70,1.0011287798413255,4400.558238049044,1790.4762267708495,False,False
beta,EZH2,1.0033770047113604,4855.456003085035,1588.416025587056,False,False
beta,SUSD4,0.9999958499140736,5108.16144981834,1790.4734169426704,False,False
