id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
HIF3A,4,0.11426,0.21701,1.0,4051,2,-0.22322,0.060622,0.13918,1.0,2430,1,-0.22322
MUSTN1,4,0.11432,0.21708,1.0,4052,2,-0.11271,0.15177,0.26561,1.0,4635,1,-0.11271
ULBP3,4,0.11434,0.21711,1.0,4053,2,-0.090116,0.15419,0.26834,1.0,4689,2,-0.090116
UCN3,4,0.11436,0.21713,1.0,4054,2,-0.178,0.94989,0.94982,1.0,17827,0,-0.178
PAPD7,4,0.11442,0.21718,1.0,4055,2,-0.2001,0.81654,0.81613,1.0,15064,0,-0.2001
SFRP2,4,0.11447,0.21723,1.0,4056,2,-0.1236,0.29922,0.43199,1.0,7684,1,-0.1236
2023-09-12 00:00:00,4,0.1146,0.21739,1.0,4057,2,-0.18338,0.82924,0.8286,1.0,15322,0,-0.18338
TSACC,4,0.11467,0.21746,1.0,4058,2,-0.038984,0.26621,0.39502,1.0,6953,2,-0.038984
ATP8B3,4,0.1147,0.21749,1.0,4059,1,-0.072161,0.87546,0.87501,1.0,16268,0,-0.072161
THSD7A,4,0.11471,0.21749,1.0,4060,2,-0.03077,0.35228,0.49178,1.0,8811,1,-0.03077
ALDOC,4,0.1148,0.21759,1.0,4061,1,0.074267,0.34571,0.48443,1.0,8663,2,0.074267
TMEM69,4,0.11485,0.21764,1.0,4062,1,-0.015394,0.14904,0.26251,1.0,4588,1,-0.015394
BLOC1S3,4,0.11488,0.21767,1.0,4063,2,-0.10881,0.92599,0.92582,1.0,17291,0,-0.10881
TAOK2,4,0.11489,0.21769,1.0,4064,2,-0.14587,0.2603,0.38837,1.0,6838,1,-0.14587
CYTH2,4,0.11504,0.21785,1.0,4065,2,-0.27196,0.38277,0.51099,1.0,9180,1,-0.27196
CNRIP1,4,0.11505,0.21787,1.0,4066,2,-0.1732,0.91067,0.91045,1.0,16985,0,-0.1732
LRRC15,4,0.11513,0.21797,1.0,4067,2,-0.13674,0.82916,0.82851,1.0,15319,0,-0.13674
ECM2,4,0.11514,0.21798,1.0,4068,2,-0.13515,0.78235,0.78191,1.0,14329,0,-0.13515
PHF21A,4,0.11518,0.21802,1.0,4069,1,0.086838,0.43353,0.53614,1.0,9632,1,0.086838
ITGB1BP1,4,0.11532,0.21818,1.0,4070,1,0.15146,0.21268,0.33491,1.0,5872,2,0.15146
FAM151A,4,0.11538,0.21825,1.0,4071,2,-0.17655,0.65046,0.66739,1.0,12133,1,-0.17655
GLYCTK,4,0.11547,0.21833,1.0,4072,1,0.0090362,0.30258,0.43578,1.0,7759,2,0.0090362
MAB21L3,4,0.11554,0.21843,1.0,4073,2,-0.14553,0.63475,0.65613,1.0,11918,1,-0.14553
SNX8,4,0.11557,0.21847,1.0,4074,2,-0.20643,0.7522,0.75223,1.0,13767,1,-0.20643
BCL2A1,4,0.11561,0.21851,1.0,4075,1,0.143,0.18707,0.3058,1.0,5351,2,0.143
TMEM139,4,0.11569,0.2186,1.0,4076,2,-0.22376,0.82494,0.8244,1.0,15235,0,-0.22376
CD207,4,0.11571,0.21861,1.0,4077,2,-0.1277,0.19207,0.31149,1.0,5458,1,-0.1277
ERH,4,0.1158,0.21873,1.0,4078,2,-0.66487,0.38817,0.51358,1.0,9228,1,-0.66487
SERPINI2,4,0.1159,0.21883,1.0,4079,1,-0.031326,0.93761,0.93757,1.0,17551,0,-0.031326
TPTE,4,0.1159,0.21884,1.0,4080,2,-0.19041,0.8433,0.84263,1.0,15603,0,-0.19041
ZNF677,4,0.11594,0.21888,1.0,4081,2,-0.11388,0.87924,0.87877,1.0,16340,0,-0.11388
SCIN,4,0.11599,0.21893,1.0,4082,2,-0.19985,0.95606,0.95598,1.0,17975,0,-0.19985
HSPA12A,4,0.11604,0.21899,1.0,4083,2,-0.10953,0.67598,0.68666,1.0,12519,1,-0.10953
SYNE4,4,0.11604,0.21899,1.0,4084,2,-0.26521,0.95373,0.95363,1.0,17922,0,-0.26521
SPATA31D3,4,0.1162,0.21915,1.0,4085,2,-0.093869,0.49257,0.56739,1.0,10229,1,-0.093869
NPAS4,4,0.11623,0.21919,1.0,4086,1,0.081383,0.70187,0.70736,1.0,12911,1,0.081383
IRX2,4,0.11628,0.21926,1.0,4087,2,-0.047913,0.3372,0.47477,1.0,8488,1,-0.047913
SMIM7,4,0.11637,0.21937,1.0,4088,2,-0.1911,0.92161,0.92141,1.0,17203,0,-0.1911
ZNF628,4,0.11647,0.21949,1.0,4089,2,-0.11467,0.22912,0.35344,1.0,6205,1,-0.11467
GPHN,4,0.11649,0.21952,1.0,4090,2,-0.077802,0.77216,0.77177,1.0,14138,0,-0.077802
CEP152,4,0.11652,0.21955,1.0,4091,2,-0.093877,0.75332,0.75329,1.0,13785,1,-0.093877
CYB561D2,4,0.11656,0.21962,1.0,4092,1,0.1622,0.096824,0.20274,1.0,3563,2,0.1622
C2orf81,4,0.11661,0.21967,1.0,4093,2,-0.10215,0.94684,0.9468,1.0,17758,0,-0.10215
TRAPPC6A,4,0.11661,0.21968,1.0,4094,2,-0.24832,0.86757,0.86711,1.0,16098,0,-0.24832
SLC9A1,4,0.11667,0.21974,1.0,4095,2,-0.22896,0.32785,0.46423,1.0,8282,1,-0.22896
USH2A,4,0.11668,0.21976,1.0,4096,2,-0.22951,0.61056,0.63935,1.0,11605,1,-0.22951
TPGS1,4,0.11671,0.21979,1.0,4097,1,-0.066186,0.76942,0.76902,1.0,14081,0,-0.066186
NKTR,4,0.11674,0.21982,1.0,4098,2,-0.22178,0.93162,0.93139,1.0,17407,0,-0.22178
PHF21B,4,0.1168,0.2199,1.0,4099,1,-0.076244,0.44293,0.54089,1.0,9723,1,-0.076244
ITGB5,4,0.11685,0.21995,1.0,4100,1,-0.082482,0.69094,0.69854,1.0,12744,1,-0.082482
HKDC1,4,0.11686,0.21996,1.0,4101,2,-0.070346,0.2221,0.34549,1.0,6048,2,-0.070346
BACE1,4,0.11688,0.21999,1.0,4102,2,-0.27642,0.94748,0.94745,1.0,17770,0,-0.27642
ACVR1C,4,0.11689,0.22001,1.0,4103,2,-0.16962,0.93416,0.934,1.0,17471,0,-0.16962
STARD13,4,0.11698,0.2201,1.0,4104,2,-0.12709,0.94759,0.94755,1.0,17774,0,-0.12709
IQGAP2,4,0.11699,0.22011,1.0,4105,1,0.31193,0.04949,0.11688,1.0,2049,3,0.31193
SCTR,4,0.117,0.22012,1.0,4106,2,-0.13075,0.88615,0.88581,1.0,16478,0,-0.13075
IL4R,4,0.11708,0.22022,1.0,4107,2,-0.19822,0.06147,0.14087,1.0,2461,1,-0.19822
UPP1,4,0.1171,0.22024,1.0,4108,2,-0.16152,0.5997,0.63215,1.0,11468,1,-0.16152
GNPTG,4,0.11712,0.22026,1.0,4109,2,-0.13903,0.46272,0.55123,1.0,9928,1,-0.13903
AP1AR,4,0.11714,0.22027,1.0,4110,1,-0.039448,0.54846,0.5995,1.0,10822,1,-0.039448
FYN,4,0.11728,0.22041,1.0,4111,2,-0.19283,0.89209,0.89177,1.0,16599,0,-0.19283
PCDHGA4,4,0.11743,0.22059,1.0,4112,2,-0.1269,0.3256,0.46168,1.0,8228,1,-0.1269
EPHX1,4,0.11745,0.22062,1.0,4113,2,-0.05577,0.30192,0.43504,1.0,7748,2,-0.05577
EIF3M,4,0.11747,0.22064,1.0,4114,1,0.0050516,0.21674,0.33948,1.0,5941,1,0.0050516
CCDC154,4,0.1175,0.22068,1.0,4115,2,-0.21448,0.83646,0.83581,1.0,15472,0,-0.21448
SMIM23,4,0.11752,0.22069,1.0,4116,2,-0.019678,0.036999,0.091318,1.0,1648,2,-0.019678
NKAIN4,4,0.11761,0.2208,1.0,4117,2,-0.082174,0.85085,0.85026,1.0,15755,0,-0.082174
CD83,4,0.11761,0.22081,1.0,4118,2,-0.00095153,0.56485,0.60967,1.0,11012,1,-0.00095153
DHCR24,4,0.11766,0.22086,1.0,4119,1,0.14803,0.18409,0.30242,1.0,5281,2,0.14803
C11orf98,4,0.11768,0.22088,1.0,4120,2,-0.11799,0.18215,0.3002,1.0,5247,2,-0.11799
GPR4,4,0.11771,0.22091,1.0,4121,2,-0.091963,0.17288,0.28964,1.0,5085,1,-0.091963
OR14J1,4,0.11775,0.22096,1.0,4122,1,0.044855,0.78526,0.78483,1.0,14388,0,0.044855
ARMC4,4,0.11785,0.22109,1.0,4123,2,-0.12494,0.87465,0.87422,1.0,16249,0,-0.12494
COQ6,4,0.1179,0.22113,1.0,4124,2,-0.20135,0.86886,0.86842,1.0,16129,0,-0.20135
RSF1,4,0.1179,0.22114,1.0,4125,2,-0.19185,0.77203,0.77165,1.0,14134,0,-0.19185
ECE1,4,0.11799,0.22124,1.0,4126,1,0.12067,0.15257,0.26654,1.0,4657,2,0.12067
PLA2R1,4,0.11804,0.22129,1.0,4127,1,0.054363,0.62254,0.64766,1.0,11763,1,0.054363
FJX1,4,0.11806,0.22132,1.0,4128,2,-0.30117,0.87461,0.87417,1.0,16246,0,-0.30117
RMI2,4,0.11809,0.22135,1.0,4129,1,0.0069715,0.77079,0.77039,1.0,14110,0,0.0069715
FAM122B,4,0.11811,0.22138,1.0,4130,2,-0.30174,0.58267,0.62093,1.0,11240,1,-0.30174
CCT8L2,4,0.11813,0.22139,1.0,4131,1,0.070607,0.3626,0.50143,1.0,9006,1,0.070607
TMEM55B,4,0.11823,0.22151,1.0,4132,1,0.0047202,0.39967,0.51919,1.0,9324,1,0.0047202
SFXN3,4,0.11828,0.22156,1.0,4133,2,-0.0031933,0.16386,0.27928,1.0,4895,2,-0.0031933
VTN,4,0.11831,0.2216,1.0,4134,2,-0.20455,0.91442,0.91421,1.0,17064,0,-0.20455
SLC27A4,4,0.11837,0.22167,1.0,4135,2,-0.13988,0.51306,0.57874,1.0,10430,1,-0.13988
UGT1A3,4,0.11838,0.22168,1.0,4136,2,-0.21915,0.29352,0.42561,1.0,7560,1,-0.21915
ATP4A,4,0.11843,0.22174,1.0,4137,2,-0.064385,0.49911,0.57096,1.0,10291,1,-0.064385
SLC28A3,4,0.11847,0.22179,1.0,4138,1,0.05081,0.80532,0.80495,1.0,14810,0,0.05081
DUSP28,4,0.11852,0.22184,1.0,4139,2,-0.18781,0.92717,0.92696,1.0,17320,0,-0.18781
TRIM17,4,0.11856,0.2219,1.0,4140,2,-0.13376,0.96958,0.96953,1.0,18283,0,-0.13376
TBC1D4,4,0.11857,0.2219,1.0,4141,2,-0.17522,0.42023,0.52935,1.0,9510,1,-0.17522
CBR3,4,0.11859,0.22193,1.0,4142,2,-0.13212,0.92816,0.92795,1.0,17343,0,-0.13212
JMJD7-PLA2G4B,4,0.1186,0.22195,1.0,4143,2,-0.16302,0.8631,0.86269,1.0,16012,0,-0.16302
FOXO1,4,0.11866,0.22201,1.0,4144,2,-0.17335,0.43754,0.53817,1.0,9678,1,-0.17335
CYP4X1,4,0.11866,0.22201,1.0,4145,1,0.49182,0.017498,0.049525,0.906348,1043,3,0.49182
OXSM,4,0.11869,0.22205,1.0,4146,2,-0.24425,0.89763,0.89735,1.0,16712,0,-0.24425
PTPN14,4,0.1188,0.22218,1.0,4147,2,0.04908,0.074136,0.16567,1.0,2900,2,0.04908
IFRD2,4,0.1188,0.22219,1.0,4148,1,0.44558,0.0065624,0.022663,0.6305,687,3,0.44558
