gene,beta_mean,beta_sd,psp,lfsr,tau_beta_mean,tau_u_mean,phi_mean,n_obs,n_sgrna,n_sample,batch_size
AICDA,0.14302673074146904,0.3144346168987612,0.67,0.32999999999999996,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
ALDH8A1,0.07218314489276782,0.32311479718483416,0.586,0.41400000000000003,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
ALPL,0.09748732262002882,0.30739133642937916,0.62,0.38,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
APLF,-0.027519328312129766,0.33488993275764833,0.476,0.476,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
AQP12B,-0.05356186087359172,0.31800660188961166,0.438,0.438,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
AQP2,0.08941627659922857,0.31846043638825533,0.604,0.396,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
ARAP3,0.09205423331046282,0.32494032259215266,0.608,0.392,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
ARHGAP4,0.13115945911366683,0.3227282950605806,0.659,0.34099999999999997,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
ARID1B,0.09018805007548536,0.3189916105316734,0.613,0.387,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
ARPC1A,-0.022773066319586522,0.3186147508880915,0.469,0.469,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
ARR3,-0.1845939070648093,0.319525470841443,0.277,0.277,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
ASB18,0.1297807848906164,0.32226680898909066,0.647,0.353,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
ASXL3,-0.11893992208391442,0.35249384413396484,0.366,0.366,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
ATP4B,0.10402077553460465,0.3250398568457653,0.61,0.39,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
ATP6V0E2,0.04745026010561428,0.34023437210441787,0.567,0.43300000000000005,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
ATP9A,-0.07364871206656087,0.32295634442986165,0.411,0.411,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
