gene,beta_mean_nuts,beta_sd_nuts,psp_nuts,lfsr_nuts,psp_draws,lfsr_draws,p_beta_gt_0,p_beta_lt_0,p_abs_beta_ge_0_3,p_abs_beta_ge_0_5,n_obs,n_sgrna,n_sample,chains,draws,tune,hit
PDIK1L,-0.1528373793858704,0.1036053983222478,0.0685,0.0685,0.0685,0.0685,0.0685,0.9315,0.079,0.0005,16,4,4,2,1000,1000,False
PDK3,-0.1037219819478259,0.0976017679773039,0.135,0.135,0.135,0.135,0.135,0.865,0.0235,0.0,16,4,4,2,1000,1000,False
PDLIM1,-0.1394551074694883,0.1063003427558417,0.099,0.099,0.099,0.099,0.099,0.901,0.0655,0.0005,16,4,4,2,1000,1000,False
PDLIM4,-0.0753560214637906,0.1027356390805449,0.2215,0.2215,0.2215,0.2215,0.2215,0.7785,0.0125,0.0,16,4,4,2,1000,1000,False
PDPK1,0.4175779565224343,0.1606086592810715,0.997,0.003,0.997,0.0030000000000000027,0.997,0.003,0.7655,0.3,16,4,4,2,1000,1000,False
PDRG1,0.3384895579279622,0.0983319575152583,1.0,0.0,1.0,0.0,1.0,0.0,0.6511627906976745,0.023255813953488372,16,4,4,2,1000,1000,False
PDS5A,0.1130409870934843,0.0961031226231181,0.88,0.12,0.88,0.12,0.88,0.12,0.025,0.0,16,4,4,2,1000,1000,False
PDS5B,0.3723508666830093,0.1526869867465213,0.9885,0.0114999999999999,0.9885,0.011499999999999955,0.9885,0.0115,0.69,0.1985,16,4,4,2,1000,1000,False
PDXK,0.0992536470320012,0.094815979683561,0.852,0.148,0.852,0.14800000000000002,0.852,0.148,0.0155,0.0,16,4,4,2,1000,1000,False
PDXP,0.1189792411263351,0.0985736424214537,0.8885,0.1115,0.8885,0.11150000000000004,0.8885,0.1115,0.0335,0.0,16,4,4,2,1000,1000,False
PDZD11,-0.0730444500753594,0.0904965869563515,0.214,0.214,0.214,0.214,0.214,0.786,0.003,0.0,16,4,4,2,1000,1000,False
PDZD3,-0.1084911258183386,0.092358058795756,0.1215,0.1215,0.1215,0.1215,0.1215,0.8785,0.0175,0.0,16,4,4,2,1000,1000,False
PDZK1IP1,-0.2106243599086426,0.1158304722073955,0.0345,0.0345,0.0345,0.0345,0.0345,0.9655,0.224,0.009,16,4,4,2,1000,1000,False
PDZRN3,-0.207238407652281,0.1085012379529429,0.0285,0.0285,0.0285,0.0285,0.0285,0.9715,0.193,0.003,16,4,4,2,1000,1000,False
PELO,0.4430984020332592,0.077841041336644,1.0,0.0,1.0,0.0,1.0,0.0,0.9767441860465116,0.20930232558139536,16,4,4,2,1000,1000,True
PER1,-0.0578107731096525,0.0940464533615094,0.273,0.273,0.273,0.273,0.273,0.727,0.0035,0.0,16,4,4,2,1000,1000,False
PER2,0.1898059501408983,0.106593770679329,0.961,0.039,0.961,0.039000000000000035,0.961,0.039,0.143,0.001,16,4,4,2,1000,1000,False
PERP,-0.0785445145053524,0.0874145713951553,0.1745,0.1745,0.1745,0.1745,0.1745,0.8255,0.0065,0.0,16,4,4,2,1000,1000,False
PEX1,-0.5398041419542557,0.1524155633288992,0.001,0.001,0.001,0.001,0.001,0.999,0.934,0.6085,16,4,4,2,1000,1000,True
PEX14,-0.1013155906205534,0.1038732763194698,0.1645,0.1645,0.1645,0.1645,0.1645,0.8355,0.021,0.0,16,4,4,2,1000,1000,False
PEX19,-0.6049895401356845,0.153121211830257,0.0,0.0,0.0,0.0,0.0,1.0,0.977,0.7555,16,4,4,2,1000,1000,True
PEX6,-0.2075943223953415,0.1096612134796326,0.0325,0.0325,0.0325,0.0325,0.0325,0.9675,0.199,0.003,16,4,4,2,1000,1000,False
PFAS,-0.1761083494098394,0.1085511846920907,0.053,0.053,0.053,0.053,0.053,0.947,0.1255,0.0,16,4,4,2,1000,1000,False
PFDN2,0.2586616328888952,0.1781490611858303,0.9215,0.0785,0.9985,0.0014999999999999458,0.9985,0.0015,0.779,0.291,16,4,4,2,1000,1000,False
PFDN6,0.2232871629559005,0.1502166316457416,0.9345,0.0655,0.9345,0.0655,0.9345,0.0655,0.298,0.031,16,4,4,2,1000,1000,False
PFKFB1,-0.1266459455168667,0.1108700763590288,0.126,0.126,0.126,0.126,0.126,0.874,0.0615,0.0005,16,4,4,2,1000,1000,False
PFN1,-1.068188041504044,0.1810363180562839,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.995,16,4,4,2,1000,1000,True
PFN2,0.0669918368246932,0.0938013740513454,0.755,0.245,0.755,0.245,0.755,0.245,0.0075,0.0,16,4,4,2,1000,1000,False
