gene,sgrna,u_mean
,C1orf21||51699,1.584092680139029
,C1orf21||51700,1.5743959166571666
,C1orf21||51701,1.6079722708761555
,C1orf21||51702,1.6172858227668747
,C21orf59||44387,1.6295419409868006
,C21orf59||44388,1.577450625405745
,C21orf59||44389,1.5389635658355891
,C21orf59||44390,1.5443211666685799
,C3orf79||62625,1.5638316526748037
,C3orf79||62626,1.5478364148272084
,C3orf79||62627,1.5906541500080396
,C3orf79||62628,1.5790166736960487
,C9orf66||63089,1.6006559567761403
,C9orf66||63090,1.5526109292082555
,C9orf66||63091,1.5818432897587817
,C9orf66||63092,1.5569657221406052
,CAPRIN1||10929,1.5828760958677777
,CAPRIN1||10930,1.588542392425333
,CAPRIN1||10931,1.563652975288732
,CAPRIN1||10932,1.5827779437585618
,CBFB||2417,1.601225042687957
,CBFB||2418,1.5460039401707668
,CBFB||2419,1.5881869871370156
,CBFB||2420,1.5915433463019757
,CCDC6||21201,1.5884864270863226
,CCDC6||21202,1.5977593813350814
,CCDC6||21203,1.5147558002972772
,CCDC6||21204,1.6066426107726126
,CCNC||2485,1.5720142523210736
,CCNC||2486,1.5524607981746206
,CCNC||2487,1.597525499821063
,CCNC||2488,1.5889669328553524
,CCNH||2513,1.573337694722814
,CCNH||2514,1.5826731502310682
,CCNH||2515,1.5597344151464272
,CCNH||2516,1.5412585363584412
,CCNK||23057,1.5799792216880846
,CCNK||23058,1.5653550599270252
,CCNK||23059,1.5323072608120607
,CCNK||23060,1.5803251991486986
,CD247||2565,1.490198136001231
,CD247||2566,1.5967393359639104
,CD247||2567,1.5796345223020938
,CD247||2568,1.5239902840256887
,CD3D||2553,1.5866719437973351
,CD3D||2554,1.5679274780102779
,CD3D||2555,1.565572664345317
,CD3D||2556,1.5423826449721973
,CD3E||2557,1.5471831706391281
,CD3E||2558,1.5493421367124653
,CD3E||2559,1.626418855884667
,CD3E||2560,1.5741114312013926
,CD3G||2561,1.539775484651534
,CD3G||2562,1.6103804634618382
,CD3G||2563,1.581038511075771
,CD3G||2564,1.6062774101694552
,CDC37||30239,1.5499045801247093
,CDC37||30240,1.6096435288942463
,CDC37||30241,1.574616406111917
,CDC37||30242,1.5454945507466353
