gene,dir,fdr,log2fc,neglog10_fdr,abs_log2fc,hit
MEGF9,neg,1.0,0.015419,-0.0,0.015419,False
DGKH,neg,1.0,0.044242,-0.0,0.044242,False
NARS2,neg,1.0,0.16265,-0.0,0.16265,False
ARPIN,neg,1.0,0.13155,-0.0,0.13155,False
NSUN2,pos,0.673608,0.40542,0.17159276364732642,0.40542,False
AMZ2,neg,1.0,-0.027736,-0.0,0.027736,False
SDCCAG3,neg,1.0,-0.032031,-0.0,0.032031,False
C6orf15,neg,1.0,0.038146,-0.0,0.038146,False
NLRP14,neg,1.0,0.067647,-0.0,0.067647,False
TMEM187,neg,1.0,0.13685,-0.0,0.13685,False
HRASLS2,neg,1.0,0.16538,-0.0,0.16538,False
APPL2,neg,1.0,-0.034077,-0.0,0.034077,False
ARMC9,neg,1.0,0.011708,-0.0,0.011708,False
DCAF4,neg,1.0,0.17513,-0.0,0.17513,False
NDUFC2,neg,1.0,0.17011,-0.0,0.17011,False
SPECC1L,neg,1.0,-0.042391,-0.0,0.042391,False
HOXC9,neg,1.0,-0.060007,-0.0,0.060007,False
HS3ST6,neg,1.0,0.26984,-0.0,0.26984,False
FAU,neg,1.0,0.21765,-0.0,0.21765,False
SETMAR,neg,1.0,-0.026052,-0.0,0.026052,False
MMP1,neg,1.0,-0.022017,-0.0,0.022017,False
HIF1AN,neg,1.0,0.049973,-0.0,0.049973,False
CTTNBP2NL,pos,0.934694,0.42256,0.029330545130174576,0.42256,False
ICMT,neg,1.0,0.10931,-0.0,0.10931,False
GRIP1,neg,1.0,0.018095,-0.0,0.018095,False
PIGH,neg,1.0,0.0085565,-0.0,0.0085565,False
FRYL,neg,1.0,0.33029,-0.0,0.33029,False
APOBEC3F,neg,1.0,-0.052942,-0.0,0.052942,False
SRSF4,neg,1.0,0.33514,-0.0,0.33514,False
TMEM229A,neg,1.0,0.087536,-0.0,0.087536,False
RHOT1,neg,1.0,0.33695,-0.0,0.33695,False
LLGL2,neg,1.0,0.0039703,-0.0,0.0039703,False
NUF2,neg,1.0,0.01873,-0.0,0.01873,False
MLLT6,neg,1.0,0.26665,-0.0,0.26665,False
C1D,neg,1.0,0.049499,-0.0,0.049499,False
ITGB1,neg,1.0,0.069586,-0.0,0.069586,False
RRNAD1,neg,1.0,0.15508,-0.0,0.15508,False
NPY5R,neg,1.0,0.10661,-0.0,0.10661,False
ZNF211,neg,1.0,-0.042923,-0.0,0.042923,False
PRR14,neg,1.0,0.12573,-0.0,0.12573,False
ARHGAP26,neg,1.0,0.045501,-0.0,0.045501,False
NOS2,neg,1.0,0.059191,-0.0,0.059191,False
NRROS,neg,1.0,0.007806,-0.0,0.007806,False
MXD3,neg,1.0,0.12295,-0.0,0.12295,False
LRRC46,pos,0.828876,0.40181,0.08151043512370501,0.40181,False
THUMPD2,neg,1.0,0.0025435,-0.0,0.0025435,False
PRR22,neg,1.0,0.052622,-0.0,0.052622,False
CYP8B1,neg,1.0,-0.0080404,-0.0,0.0080404,False
IFNL2,neg,1.0,0.15309,-0.0,0.15309,False
SH3RF3,neg,1.0,0.17406,-0.0,0.17406,False
APCDD1L,neg,1.0,0.19299,-0.0,0.19299,False
ASS1,neg,1.0,0.1238,-0.0,0.1238,False
