gene,beta_mean,beta_sd,psp,lfsr,gamma_mean,phi_mean,n_sgrna,n_sample,chains,draws,tune
TAF2,0.5200717943964064,0.5023299191065068,0.8655,0.13449999999999995,5.039219715985495,3.830066561276949,4,4,2,1000,1000
TAF6,0.7376535245870051,0.5709077471212995,0.911,0.08899999999999997,5.050927053672576,4.060937195758383,4,4,2,1000,1000
TET2,0.49046170865549266,0.5170745727398814,0.8525,0.14749999999999996,5.071654441524495,3.971316123151673,4,4,2,1000,1000
TGFBR1,1.8266163472511672,0.6205282990085634,0.999,0.0010000000000000009,5.148828937257725,3.0135390876427888,4,4,2,1000,1000
TGFBR2,1.5920106813800539,0.5765770522699868,0.997,0.0030000000000000027,5.800109206834955,3.3536720417974255,4,4,2,1000,1000
TLE3,-0.5441559896912042,0.510233507236443,0.133,0.133,4.928066817952654,4.346319037406926,4,4,2,1000,1000
TMEM258,0.8814027649890914,0.5580752816742277,0.954,0.04600000000000004,5.795870304523752,4.356765613513102,4,4,2,1000,1000
TMEM30A,-0.2815601717600799,0.4242544393950354,0.279,0.279,5.033584440199372,3.8472173601366455,4,4,2,1000,1000
TRAPPC3,0.45909135231511095,0.5006751549256292,0.8425,0.15749999999999997,4.85512938429162,2.7703779589868427,4,4,2,1000,1000
UHRF1,-0.5468469811630766,0.5029672612342038,0.1385,0.1385,5.120050266342407,3.7870271381932716,4,4,2,1000,1000
USO1,1.3187567761452679,0.5911656255944262,0.9875,0.012499999999999956,6.204473526120686,4.336896391135655,4,4,2,1000,1000
XRCC3,-0.3325359042101818,0.4450890283484298,0.2305,0.2305,4.866801258455278,4.108290647831215,4,4,2,1000,1000
ZBTB7B,-0.6009104823086509,0.5478784575541916,0.131,0.131,5.34696900707273,4.31995404459141,4,4,2,1000,1000
ZC3H12A,-0.37307043370042803,0.4322708439047307,0.1965,0.1965,5.817498933698333,4.295875279897471,4,4,2,1000,1000
ZNF26,-0.1507025372949083,0.37170675939951603,0.3505,0.3505,5.041335622881152,3.960658715476652,4,4,2,1000,1000
ZNF384,-0.26897194959542,0.42223845703916935,0.2695,0.2695,4.5848092740224065,4.41521027876846,4,4,2,1000,1000
ZNF592,-0.21902353267226118,0.4103140937443171,0.303,0.303,5.462765510455567,3.852613253239032,4,4,2,1000,1000
AIP,-0.33797255751262917,0.45020122418546593,0.229,0.229,5.037803213353593,4.169908548382954,4,4,2,1000,1000
BAZ1B,-0.3004650693428871,0.4366881813499488,0.265,0.265,5.1157975339255675,3.742065303113588,4,4,2,1000,1000
BRK1,-0.3004449935049661,0.42710797625090774,0.2925,0.2925,5.250204277546899,3.9593230743858814,4,4,2,1000,1000
CABIN1,-0.25348924540720685,0.41384513507934073,0.276,0.276,5.5225480319356866,3.86559554613944,4,4,2,1000,1000
EDC4,-0.25287765307378646,0.40879567953997054,0.279,0.279,5.098967184285518,4.508824153043129,4,4,2,1000,1000
EED,-0.3287954200203228,0.43759168031768786,0.235,0.235,5.100966808297377,3.8092864124878307,4,4,2,1000,1000
ETS1,-0.5056947384261171,0.48502658652634745,0.135,0.135,4.22286701836451,4.271543796267252,4,4,2,1000,1000
FBXO42,-0.29087713903612233,0.4241871337454717,0.249,0.249,5.346193660492431,4.631834237275791,4,4,2,1000,1000
NCKAP1L,-0.23596956301741426,0.43234985351883976,0.2735,0.2735,5.620574976936797,4.394786803023319,4,4,2,1000,1000
SPOP,-0.26502840456946286,0.44163829378798086,0.2685,0.2685,5.357828324958491,3.752575189966239,4,4,2,1000,1000
STK11,-0.3678173088610421,0.45666905765913945,0.211,0.211,4.855643850436427,4.047927582073802,4,4,2,1000,1000
TBL1XR1,-0.5348656939004293,0.5178258173569034,0.1425,0.1425,5.079193645981943,4.2468109765278585,4,4,2,1000,1000
TMEM115,-0.28067516593047015,0.45617541065189965,0.278,0.278,4.608457611693,2.6995480438856023,4,4,2,1000,1000
TNRC18,-0.29298741482542573,0.4336997084825147,0.2615,0.2615,5.2357556851537845,4.450268216748449,4,4,2,1000,1000
YBX1,-0.16024491763993562,0.36922695473185724,0.417,0.417,5.0851977333289415,4.217473311584653,4,4,2,1000,1000
PAICS,-0.283176092643821,0.42509993307540994,0.266,0.266,5.160299303624381,3.738198380837267,4,4,2,1000,1000
MCMBP,-0.21533180735260346,0.40609916738459745,0.3125,0.3125,4.1217834026347395,3.4038142864431644,4,4,2,1000,1000
