gene,baseMean,n_sgrna,median_lfc,sign_consistency,mad_lfc,wald_beta,wald_se,wald_z,wald_p,composite_rank,confirm_sign_consistency
TAB3,835.5500776058713,4,-0.1574984743501931,0.75,0.06973273245975609,-0.09981404317816489,0.01731784958273184,-5.76365112200146,8.231348047615938e-09,17760.5,0.5
ZNF91,223.83558030251342,4,0.22339524158187823,0.75,0.1660934108949581,0.13671223886913975,0.033505066563480915,4.08034524002857,4.4968860916982933e-05,17761.5,0.75
ZNF677,530.9607767695777,4,-0.29128703138173984,0.75,0.24841095903454752,-0.0703259169389483,0.021710194377319407,-3.2393038826228855,0.0011982183719911887,17763.5,0.75
NFATC2,704.1794553871266,4,0.3194461834147795,0.75,0.17806268329983976,0.05712980406184076,0.018850790379599087,3.0306317619269914,0.002440426800341955,17765.5,0.75
UCK2,228.60488715172116,4,-0.21780829431884752,0.875,0.1431342385909604,-0.07965696014703005,0.033093878386243995,-2.406999845026951,0.01608417668909179,17765.5,1.0
RMI1,347.63436733258993,4,-0.35258733323108904,0.75,0.2138383290145787,-0.07678643230934701,0.02683652073468611,-2.8612662970912175,0.004219524663532592,17765.5,0.75
UTS2R,412.18060102171677,4,-0.18794515047658855,0.75,0.24673280951062015,-0.11899276910711887,0.024668633154512714,-4.823646626945406,1.4095705742622755e-06,17770.5,1.0
MMACHC,388.0362472662988,4,0.20823268123749272,0.75,0.1791495172062207,0.1102947426980112,0.025421552924832377,4.33863120101812,1.4337288335442011e-05,17778.5,0.5
PRPH2,354.6053955410733,4,-0.24041352984169106,0.75,0.11445871487378363,-0.10091939962175811,0.026583469776983802,-3.7963215663116707,0.00014685897908606194,17783.5,0.75
EXOSC7,152.91500595314253,4,0.2785577718138108,0.75,0.281618354936354,0.13534398399936054,0.04053936746041563,3.3385815437677016,0.000842073108475283,17783.5,0.75
NAGK,599.4862968835965,4,-0.13620048235961218,0.75,0.20945151311606347,-0.13939790654935136,0.02046637672128385,-6.811069123162655,9.687584068274191e-12,17787.5,0.75
KLB,340.37635607199473,4,-0.1983865022875208,0.75,0.2010014034274263,-0.12352452112102696,0.02715137891691865,-4.549475056092123,5.377990823340895e-06,17794.5,0.75
CDC25C,219.7750734312084,4,0.16155057692999358,0.75,0.15237308686694195,0.1886369898534367,0.03388194210380222,5.5674786668225815,2.584517089232463e-08,17799.5,0.75
