gene,converged,iters,phi,beta_mean,beta_sd,lfsr,p_effect_ge_delta,p_abs_beta_ge_0_3_norm,p_abs_beta_ge_0_5_norm,neglog10_lfsr,hit_tier1,hit_tier2,hit_any,hit_category
ALG1,False,25,4.354486744590913,0.5945774089029803,0.2177432416633911,0.0031606178202892576,0.9574000590546506,0.9119706842329842,0.6679841525151309,2.500228015572654,False,True,True,tier2_pos
NUS1,False,25,5.391760369181557,0.5512832389613875,0.2000972930671212,0.00293392566580824,0.9511576423847097,0.8954171962494798,0.6011372012980212,2.5325508936755092,False,True,True,tier2_pos
MED10,False,25,3.4374902166937646,0.5397053617570882,0.23582909449069986,0.011052917764654722,0.9130349634847598,0.8454742445208066,0.5668571223576134,1.9565230611806999,False,True,True,tier2_pos
BCL11B,False,25,5.4642029230061775,0.5321213402554947,0.19740297813446764,0.003512999187145404,0.9431462110816435,0.8801901694951239,0.5646304915880689,2.4543219506971026,False,True,True,tier2_pos
TAF12,False,25,4.42045985576848,0.5313823931016042,0.21409685052512994,0.006532876672776169,0.9273066747086469,0.8601444894561007,0.5582690984069716,2.1848955403159778,False,True,True,tier2_pos
ALDOA,False,25,4.615175561440992,0.5293734166579017,0.2102673253743771,0.005907520343782491,0.9295822496101493,0.8623740168440539,0.5555502320456662,2.228594774109091,False,True,True,tier2_pos
PHIP,False,25,5.01270146715265,0.5120844593746039,0.2028248809945219,0.0057888409379044685,0.9252313275966416,0.8521705384171796,0.5237555284472799,2.2374083835372605,False,True,True,tier2_pos
EP300,False,25,4.2435271116641164,0.5109622197602446,0.21775740577836097,0.00947597917073624,0.9096484123153222,0.8337741687332744,0.5200765666008457,2.0233759025761464,False,True,True,tier2_pos
DDOST,False,25,3.4406069788268154,0.5011335768796672,0.2336584221049225,0.015987331815063625,0.8865604398065259,0.8056296700155097,0.5019445852214799,1.7962240112184658,False,True,True,tier2_pos
BRK1,False,25,5.40358217355619,-0.49722352969593897,0.19656397346613058,0.00571002026598566,0.920913197919764,0.8421802810600634,0.4943653146947598,2.243362350354831,False,True,True,tier2_neg
GANAB,False,25,5.485769469901497,0.4969598020158259,0.19566360325903187,0.005544709408581529,0.9216615406768784,0.8429655973637965,0.49380170544271945,2.2561212097594603,False,True,True,tier2_pos
SMARCD1,False,25,5.3601159858366945,0.4866043463640923,0.1967944976898673,0.006705729752609542,0.9124139383712654,0.8285231588669977,0.47286552213075667,2.173553953041913,False,True,True,tier2_pos
TAF8,False,25,4.848985217337593,0.4809350401029135,0.2042394487176194,0.0092673171098424,0.8996032981722862,0.8122291368440561,0.4628150791902094,2.033045975999234,False,True,True,tier2_pos
SMARCC1,False,25,5.492857327429394,0.4764320413370734,0.19525671258123356,0.007343041433672054,0.9056409863058889,0.8169285889367083,0.4519636546954871,2.134124021245492,False,True,True,tier2_pos
GTF2A2,False,25,5.446496690275013,0.4672580160749837,0.19667127228731493,0.008754702665217213,0.895899569895843,0.8025088723938513,0.43388974633737176,2.057758599214829,False,True,True,tier2_pos
