gene,beta_sd_nuts,eb_mu_logphi_batch,eb_tau_beta_scale,chains,psp_nuts,eb_sigma_logphi,draws,n_obs,lfsr_nuts,n_sample,tune,eb_tau_u_scale,batch_no,n_sgrna,beta_mean_nuts
IFNL2,0.11551202047803698,1.5633554843054513,0.11494520954412007,3,0.7813333333333333,0.7084472251108588,1000,16,0.21866666666666668,4,1500,0.4684258567770211,10,4,0.08806970109151505
IFNL3,0.1085391636899539,1.5665168278530832,0.11494520954412,3,0.2413333333333333,0.7084472251108588,1000,16,0.2413333333333333,4,1500,0.4684258567770211,5,4,-0.0789508183937058
IFNW1,0.1136515504268902,1.5706860989184106,0.11494520954412,3,0.2083333333333333,0.7084472251108588,1000,16,0.2083333333333333,4,1500,0.4684258567770211,1,4,-0.0908811409815122
IFRD2,0.1126713054111273,1.5706860989184106,0.11494520954412,3,0.9273333333333332,0.7084472251108588,1000,16,0.0726666666666666,4,1500,0.4684258567770211,1,4,0.1661778673188707
IFT20,0.108632384177054,1.5627110919231797,0.11494520954412,3,0.2676666666666666,0.7084472251108588,1000,16,0.2676666666666666,4,1500,0.4684258567770211,2,4,-0.0656397971586268
IFT81,0.1134181151685766,1.5706860989184106,0.11494520954412,3,0.1553333333333333,0.7084472251108588,1000,16,0.1553333333333333,4,1500,0.4684258567770211,1,4,-0.1145195978634451
IGBP1,0.1245864002048109,1.550234325699251,0.11494520954412,3,1.0,0.7084472251108588,1000,16,0.0,4,1500,0.4684258567770211,4,4,0.4248349342247509
IGDCC3,0.1204054252375483,1.550234325699251,0.11494520954412,3,0.128,0.7084472251108588,1000,16,0.128,4,1500,0.4684258567770211,4,4,-0.1322182929843558
IGDCC4,0.116773988360856,1.5561944696080865,0.11494520954412,3,0.945,0.7084472251108588,1000,16,0.055,4,1500,0.4684258567770211,9,4,0.1862940027010472
IGF2BP1,0.1184790875083868,1.5706860989184106,0.11494520954412,3,0.0843333333333333,0.7084472251108588,1000,16,0.0843333333333333,4,1500,0.4684258567770211,1,4,-0.1628635134542211
IGF2BP3,0.11093217624899784,1.5633554843054513,0.11494520954412007,3,0.7473333333333333,0.7084472251108588,1000,16,0.2526666666666667,4,1500,0.4684258567770211,10,4,0.07439971576786382
IGFALS,0.105087153203415,1.5658840941099257,0.11494520954412,3,0.171,0.7084472251108588,1000,16,0.171,4,1500,0.4684258567770211,7,4,-0.0986992054413912
IGFBP5,0.1129650254251816,1.5658840941099257,0.11494520954412,3,0.065,0.7084472251108588,1000,16,0.065,4,1500,0.4684258567770211,7,4,-0.1749787727326239
IGFBP6,0.107220731213121,1.5658840941099257,0.11494520954412,3,0.1886666666666666,0.7084472251108588,1000,16,0.1886666666666666,4,1500,0.4684258567770211,7,4,-0.0955442929912317
IGFL3,0.1143365679009977,1.5697311140197716,0.11494520954412,3,0.1706666666666666,0.7084472251108588,1000,16,0.1706666666666666,4,1500,0.4684258567770211,6,4,-0.1083806335734707
IGHMBP2,0.1235838076369274,1.550234325699251,0.11494520954412,3,0.9576666666666668,0.7084472251108588,1000,16,0.0423333333333333,4,1500,0.4684258567770211,4,4,0.2124257826765909
IGSF9,0.1192979676266542,1.5556958958618938,0.11494520954412,3,0.0226666666666666,0.7084472251108588,1000,16,0.0226666666666666,4,1500,0.4684258567770211,8,4,-0.241341726885969
IGSF9B,0.11434990232428557,1.5633554843054513,0.11494520954412007,3,0.16966666666666666,0.7084472251108588,1000,16,0.16966666666666666,4,1500,0.4684258567770211,10,4,-0.10757877197379552
IHH,0.1127630201687656,1.5706860989184106,0.11494520954412,3,0.2093333333333333,0.7084472251108588,1000,16,0.2093333333333333,4,1500,0.4684258567770211,1,4,-0.0903903078405415
IKBIP,0.10912694760598653,1.5633554843054513,0.11494520954412007,3,0.14466666666666667,0.7084472251108588,1000,16,0.14466666666666667,4,1500,0.4684258567770211,10,4,-0.11220357537644658
IKBKAP,0.1117201802655469,1.5627110919231797,0.11494520954412,3,0.9833333333333332,0.7084472251108588,1000,16,0.0166666666666667,4,1500,0.4684258567770211,2,4,0.2417862935687318
IKZF1,0.11284270671652312,1.5633554843054513,0.11494520954412007,3,0.8786666666666667,0.7084472251108588,1000,16,0.1213333333333333,4,1500,0.4684258567770211,10,4,0.12901631757362353
IKZF3,0.1052563625234377,1.5658840941099257,0.11494520954412,3,1.0,0.7084472251108588,1000,16,0.0,4,1500,0.4684258567770211,7,4,0.5214009509376758
IKZF4,0.1217217982173463,1.5556958958618938,0.11494520954412,3,0.9586666666666668,0.7084472251108588,1000,16,0.0413333333333333,4,1500,0.4684258567770211,8,4,0.2035361285307877
IL10RA,0.1164177064261253,1.5706860989184106,0.11494520954412,3,0.914,0.7084472251108588,1000,16,0.0859999999999999,4,1500,0.4684258567770211,1,4,0.1541249978759612
IL10RB,0.110268910123716,1.5639467862677976,0.11494520954412,3,0.9453333333333334,0.7084472251108588,1000,16,0.0546666666666666,4,1500,0.4684258567770211,3,4,0.1779341684491147
IL12A,0.1229473419112985,1.550234325699251,0.11494520954412,3,0.8586666666666667,0.7084472251108588,1000,16,0.1413333333333333,4,1500,0.4684258567770211,4,4,0.1324584789182637
IL12RB1,0.1141950661821424,1.5627110919231797,0.11494520954412,3,0.0663333333333333,0.7084472251108588,1000,16,0.0663333333333333,4,1500,0.4684258567770211,2,4,-0.1692130476529672
IL12RB2,0.1179540994735119,1.5561944696080865,0.11494520954412,3,0.7003333333333334,0.7084472251108588,1000,16,0.2996666666666666,4,1500,0.4684258567770211,9,4,0.0621991021476545
IL17A,0.1198183836984094,1.550234325699251,0.11494520954412,3,0.236,0.7084472251108588,1000,16,0.236,4,1500,0.4684258567770211,4,4,-0.086782910726432
IL17RE,0.1116916004668031,1.5627110919231797,0.11494520954412,3,0.1746666666666666,0.7084472251108588,1000,16,0.1746666666666666,4,1500,0.4684258567770211,2,4,-0.1060542174928552
IL18RAP,0.1092177902726421,1.5561944696080865,0.11494520954412,3,0.0573333333333333,0.7084472251108588,1000,16,0.0573333333333333,4,1500,0.4684258567770211,9,4,-0.176648282352416
IL1A,0.1074513960478825,1.5658840941099257,0.11494520954412,3,0.0806666666666666,0.7084472251108588,1000,16,0.0806666666666666,4,1500,0.4684258567770211,7,4,-0.1486862588940589
IL1B,0.1071609923924481,1.5697311140197716,0.11494520954412,3,0.2293333333333333,0.7084472251108588,1000,16,0.2293333333333333,4,1500,0.4684258567770211,6,4,-0.0791336736690063
IL1RAP,0.1128662957536371,1.5665168278530832,0.11494520954412,3,0.0986666666666666,0.7084472251108588,1000,16,0.0986666666666666,4,1500,0.4684258567770211,5,4,-0.1483348507243377
IL22,0.1102134980741989,1.5658840941099257,0.11494520954412,3,0.264,0.7084472251108588,1000,16,0.264,4,1500,0.4684258567770211,7,4,-0.074527835843905
IL2RG,0.1318423604037943,1.550234325699251,0.11494520954412,3,0.9336666666666666,0.7084472251108588,1000,16,0.0663333333333333,4,1500,0.4684258567770211,4,4,0.198632502690175
