gene,beta_mean_nuts,beta_sd_nuts,p_beta_gt_0_norm,p_beta_lt_0_norm,psp_norm,lfsr_norm,p_abs_beta_ge_0_3_norm,p_abs_beta_ge_0_5_norm,n_obs,n_sgrna,n_sample,chains,draws,tune,hit,psp_delta,lfsr_delta,p_abs_0_3_delta,p_abs_0_5_delta
TBC1D10B,-0.0959086453812431,0.0925134168897749,0.14993788105255867,0.8500621189474413,0.8500621189474413,0.14993788105255867,0.01369880993150216,6.271783438223139e-06,16,4,4,2,1000,1000,False,0.7135621189474413,0.013437881052558664,-0.004301190068497839,6.271783438223139e-06
TBC1D10C,-0.2784595629836233,0.109638326177695,0.005545773205615667,0.9944542267943843,0.9944542267943843,0.005545773205615667,0.42212195320250867,0.02165812114950727,16,4,4,2,1000,1000,False,0.9944542267943843,0.005545773205615667,0.05002892994669478,0.02165812114950727
TBC1D14,-0.1404561601420132,0.1115688837767779,0.1040298396028847,0.8959701603971153,0.8959701603971153,0.1040298396028847,0.07639750694006597,0.0006351299446631789,16,4,4,2,1000,1000,False,0.7889701603971153,-0.0029701603971152984,-0.0026024930599340274,-0.0008648700553368212
TBC1D28,0.1090965796021104,0.121181002277444,0.8160138134644698,0.18398618653553023,0.8160138134644698,0.18398618653553023,0.05795481086089075,0.0006283963665467069,16,4,4,2,1000,1000,False,0.001513813464469771,-0.001513813464469771,-0.0005451891391092534,0.0006283963665467069
TBC1D29,0.0535527387851507,0.0924406688402671,0.718813401897032,0.2811865981029679,0.718813401897032,0.2811865981029679,0.0039034108807658773,6.852547218164702e-07,16,4,4,2,1000,1000,False,-0.0016865981029680066,0.0016865981029680066,-0.0015965891192341224,6.852547218164702e-07
TBC1D3C,0.2273668343792858,0.106041600300295,0.983988710388018,0.016011289611981946,0.983988710388018,0.016011289611981946,0.24668815056270232,0.005070237185345298,16,4,4,2,1000,1000,False,-0.0030112896119819377,0.0030112896119819463,0.007688150562702334,0.001570237185345298
TBKBP1,0.1457912904681957,0.110717353393806,0.9060451641467399,0.09395483585326014,0.9060451641467399,0.09395483585326014,0.08186630113226516,0.000689012543343102,16,4,4,2,1000,1000,False,0.0005451641467398849,-0.0005451641467398571,-0.002633698867734846,-0.000810987456656898
TBL1XR1,-1.256338955516902,0.1768381926759994,6.039613253960852e-13,0.999999999999396,0.999999999999396,6.039613253960852e-13,0.9999999681317854,0.9999905290421609,16,4,4,2,1000,1000,True,0.999999999999396,6.039613253960852e-13,-3.1868214622754465e-08,-9.470957839097238e-06
TBR1,0.1699903633911576,0.1163050863465903,0.9280732162574651,0.07192678374253493,0.9280732162574651,0.07192678374253493,0.13184582223096555,0.0022737917533896647,16,4,4,2,1000,1000,False,-0.0004267837425349086,0.00042678374253493634,0.0008458222309655483,0.0012737917533896647
TBX15,0.2787448711306826,0.109583054650083,0.9945155164534766,0.005484483546523456,0.9945155164534766,0.005484483546523456,0.42310223772678984,0.021740318028339513,16,4,4,2,1000,1000,False,0.0005155164534765833,-0.0005155164534765442,-0.009397762273210153,0.003740318028339514
TBXA2R,-0.1714419739834088,0.1208506769134148,0.07800396648068941,0.9219960335193106,0.9219960335193106,0.07800396648068941,0.14376302976771466,0.0032768590347393937,16,4,4,2,1000,1000,False,0.8484960335193106,0.004503966480689417,0.008263029767714647,-0.0007231409652606064
TCF7,-0.0556880585197684,0.0927209915440767,0.27405382613096074,0.7259461738690393,0.7259461738690393,0.27405382613096074,0.004270415261229125,8.26976811480189e-07,16,4,4,2,1000,1000,False,0.45144617386903924,-0.00044617386903927914,-0.001229584738770875,8.26976811480189e-07
TCP1,0.1485493002637139,0.106914113229488,0.9176484489734246,0.08235155102657543,0.9176484489734246,0.08235155102657543,0.07831881686040737,0.0005059012159738728,16,4,4,2,1000,1000,False,0.003148448973424589,-0.003148448973424575,-0.0046811831395926345,5.901215973872788e-06
TCP11,-0.1455050480743104,0.104936007950011,0.08278075105468563,0.9172192489453144,0.9172192489453144,0.08278075105468563,0.07048384737397437,0.0003648087145166012,16,4,4,2,1000,1000,False,0.8307192489453143,-0.003719248945314363,0.006983847373974367,0.0003648087145166012
TDG,0.2263722619610478,0.1786466016170316,0.8974493907900533,0.10255060920994674,0.8974493907900533,0.10255060920994674,0.3417249852549883,0.06282579322107275,16,4,4,2,1000,1000,False,-0.0010506092099467068,0.0010506092099467346,-0.36677501474501173,-0.17367420677892725
TDGF1,-0.1223554749438669,0.1163130850789051,0.14641139282835658,0.8535886071716434,0.8535886071716434,0.14641139282835658,0.06348475136538607,0.0005836097693374512,16,4,4,2,1000,1000,False,0.7095886071716434,0.00241139282835659,-0.00401524863461393,0.0005836097693374512
TDO2,0.1408022253700964,0.1007080730019932,0.9189618616753866,0.08103813832461337,0.9189618616753866,0.08103813832461337,0.056969659584698185,0.00018073688295052855,16,4,4,2,1000,1000,False,0.00046186167538664336,-0.0004618616753866295,0.004969659584698187,0.00018073688295052855
TECPR2,0.1652698520138326,0.1086382340337007,0.9359059907799203,0.06409400922007964,0.9359059907799203,0.06409400922007964,0.10746503282376575,0.0010310315922702224,16,4,4,2,1000,1000,False,0.0039059907799202653,-0.0039059907799202515,-0.003034967176234249,0.0005310315922702224
