gene,beta_sd_nuts,eb_mu_logphi_batch,eb_tau_beta_scale,chains,psp_nuts,eb_sigma_logphi,draws,n_obs,lfsr_nuts,n_sample,tune,eb_tau_u_scale,batch_no,n_sgrna,beta_mean_nuts,p_abs_beta_ge_0_3,p_abs_beta_ge_0_5,p_beta_gt_0,p_beta_lt_0,psp_draws,lfsr_draws,hit
IRF1,0.1144670453457368,1.5665168278530832,0.11494520954412,3,0.9806666666666668,0.7084472251108588,1000,16,0.0193333333333333,4,1500,0.4684258567770211,5,4,0.2338842153023489,0.2753333333333333,0.013333333333333334,0.9806666666666667,0.019333333333333334,0.9806666666666667,0.019333333333333313,False
IRF2BP1,0.1070374673193908,1.5697311140197716,0.11494520954412,3,0.9803333333333332,0.7084472251108588,1000,16,0.0196666666666667,4,1500,0.4684258567770211,6,4,0.2145194065217704,0.21033333333333334,0.0036666666666666666,0.9803333333333333,0.019666666666666666,0.9803333333333333,0.01966666666666672,False
IRF2BP2,0.1148151873406636,1.5706860989184106,0.11494520954412,3,0.9096666666666666,0.7084472251108588,1000,16,0.0903333333333333,4,1500,0.4684258567770211,1,4,0.152610851088001,0.10466666666666667,0.0013333333333333333,0.9096666666666666,0.09033333333333333,0.9096666666666666,0.09033333333333338,False
IRF2BPL,0.1141364260757731,1.5561944696080865,0.11494520954412,3,0.7586666666666667,0.7084472251108588,1000,16,0.2413333333333333,4,1500,0.4684258567770211,9,4,0.0793545335226926,0.025,0.0,0.7586666666666667,0.24133333333333334,0.7586666666666667,0.2413333333333333,False
IRF4,0.1145298373239442,1.5561944696080865,0.11494520954412,3,0.0,0.7084472251108588,1000,16,0.0,4,1500,0.4684258567770211,9,4,-0.8048639788882386,1.0,0.9956666666666667,0.0,1.0,0.0,0.0,True
IRF6,0.1119732561363628,1.5697311140197716,0.11494520954412,3,0.796,0.7084472251108588,1000,16,0.2039999999999999,4,1500,0.4684258567770211,6,4,0.094314851980383,0.037,0.0,0.796,0.204,0.796,0.20399999999999996,False
IRG1,0.1103925413274853,1.5561944696080865,0.11494520954412,3,0.219,0.7084472251108588,1000,16,0.219,4,1500,0.4684258567770211,9,4,-0.0852109574763555,0.027666666666666666,0.0,0.219,0.781,0.219,0.219,False
IRS4,0.1141344019578444,1.5665168278530832,0.11494520954412,3,0.945,0.7084472251108588,1000,16,0.055,4,1500,0.4684258567770211,5,4,0.1821535149536998,0.157,0.0013333333333333333,0.945,0.055,0.945,0.05500000000000005,False
IRX1,0.1051492041909087,1.5658840941099257,0.11494520954412,3,0.1933333333333333,0.7084472251108588,1000,16,0.1933333333333333,4,1500,0.4684258567770211,7,4,-0.0918160262271731,0.024,0.0,0.19333333333333333,0.8066666666666666,0.19333333333333333,0.19333333333333333,False
ISCA1,0.1119669748469144,1.5697311140197716,0.11494520954412,3,0.1436666666666666,0.7084472251108588,1000,16,0.1436666666666666,4,1500,0.4684258567770211,6,4,-0.1186013076681824,0.053,0.0,0.14366666666666666,0.8563333333333333,0.14366666666666666,0.14366666666666666,False
ISG15,0.1164011935968558,1.5706860989184106,0.11494520954412,3,0.0346666666666666,0.7084472251108588,1000,16,0.0346666666666666,4,1500,0.4684258567770211,1,4,-0.2137680483671236,0.22733333333333333,0.008,0.034666666666666665,0.9653333333333334,0.034666666666666665,0.034666666666666665,False
ISG20,0.1197101403674308,1.550234325699251,0.11494520954412,3,0.096,0.7084472251108588,1000,16,0.096,4,1500,0.4684258567770211,4,4,-0.1550165100935427,0.11566666666666667,0.001,0.096,0.904,0.096,0.096,False
ISLR,0.117854492952185,1.5561944696080865,0.11494520954412,3,0.018,0.7084472251108588,1000,16,0.018,4,1500,0.4684258567770211,9,4,-0.2456321337932099,0.32966666666666666,0.013333333333333334,0.018,0.982,0.018,0.018,False
ISM1,0.116488711096559,1.5561944696080865,0.11494520954412,3,0.1916666666666666,0.7084472251108588,1000,16,0.1916666666666666,4,1500,0.4684258567770211,9,4,-0.1037607735251736,0.04566666666666667,0.001,0.19166666666666668,0.8083333333333333,0.19166666666666668,0.19166666666666668,False
ITCH,0.1109751494301883,1.5556958958618938,0.11494520954412,3,0.0746666666666666,0.7084472251108588,1000,16,0.0746666666666666,4,1500,0.4684258567770211,8,4,-0.1595211792257917,0.10166666666666667,0.0013333333333333333,0.07466666666666667,0.9253333333333333,0.07466666666666667,0.07466666666666667,False
ITFG1,0.1144275993503844,1.5639467862677976,0.11494520954412,3,0.9306666666666666,0.7084472251108588,1000,16,0.0693333333333333,4,1500,0.4684258567770211,3,4,0.1654336364952171,0.12933333333333333,0.0006666666666666666,0.9306666666666666,0.06933333333333333,0.9306666666666666,0.06933333333333336,False
ITFG2,0.1145917563848076,1.5561944696080865,0.11494520954412,3,0.0936666666666666,0.7084472251108588,1000,16,0.0936666666666666,4,1500,0.4684258567770211,9,4,-0.1513393772610257,0.1,0.0006666666666666666,0.09366666666666666,0.9063333333333333,0.09366666666666666,0.09366666666666666,False
ITGA10,0.1071786916269419,1.5658840941099257,0.11494520954412,3,0.0666666666666666,0.7084472251108588,1000,16,0.0666666666666666,4,1500,0.4684258567770211,7,4,-0.1603380331563725,0.08933333333333333,0.0006666666666666666,0.06666666666666667,0.9333333333333333,0.06666666666666667,0.06666666666666667,False
ITGA11,0.1090774840613784,1.5697311140197716,0.11494520954412,3,0.0586666666666666,0.7084472251108588,1000,16,0.0586666666666666,4,1500,0.4684258567770211,6,4,-0.1714776021079068,0.124,0.001,0.058666666666666666,0.9413333333333334,0.058666666666666666,0.058666666666666666,False
ITGA5,0.1103706170751547,1.5697311140197716,0.11494520954412,3,0.205,0.7084472251108588,1000,16,0.205,4,1500,0.4684258567770211,6,4,-0.0918497990857461,0.033,0.0,0.205,0.795,0.205,0.205,False
ITGA6,0.1085028644093125,1.5639467862677976,0.11494520954412,3,0.0276666666666666,0.7084472251108588,1000,16,0.0276666666666666,4,1500,0.4684258567770211,3,4,-0.2097799960521503,0.20633333333333334,0.0023333333333333335,0.027666666666666666,0.9723333333333334,0.027666666666666666,0.027666666666666666,False
ITGAE,0.110512025513736,1.5627110919231797,0.11494520954412,3,0.92,0.7084472251108588,1000,16,0.0799999999999999,4,1500,0.4684258567770211,2,4,0.1567875007030668,0.09566666666666666,0.001,0.92,0.08,0.92,0.07999999999999996,False
