gene,beta_mean,beta_sd,psp,lfsr,tau_beta_mean,tau_u_mean,phi_mean,n_obs,n_sgrna,n_sample,batch_size,p_abs_beta_ge_0_3,p_abs_beta_ge_0_5,p_beta_gt_0,p_beta_lt_0,psp_draws,lfsr_draws,hit
RBM47,-0.1120058430616794,0.3320313671984518,0.365,0.365,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.391,0.17,0.365,0.635,0.365,0.365,False
RDH13,-0.1051618017077213,0.3238047943421999,0.377,0.377,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.388,0.145,0.377,0.623,0.377,0.377,False
RER1,0.1748502899600764,0.3282858924646792,0.711,0.289,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.442,0.187,0.711,0.289,0.711,0.28900000000000003,False
RFC5,-0.3146785273036733,0.351118332586899,0.184,0.184,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.543,0.298,0.184,0.816,0.184,0.184,False
RFK,0.1180412232049528,0.3345014567636067,0.629,0.371,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.415,0.169,0.629,0.371,0.629,0.371,False
RGS7BP,0.0394157707029734,0.3093239666456664,0.546,0.4539999999999999,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.338,0.105,0.546,0.454,0.546,0.45399999999999996,False
RHCG,-0.0488422648689909,0.3432009125633461,0.449,0.449,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.398,0.141,0.449,0.551,0.449,0.449,False
RHOC,-0.0405735582656368,0.3295314618686258,0.441,0.441,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.362,0.138,0.441,0.559,0.441,0.441,False
RHOT2,-0.1036144728821021,0.3094754559914978,0.372,0.372,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.368,0.125,0.372,0.628,0.372,0.372,False
RIMS2,0.2024873930081312,0.3296232794014599,0.757,0.243,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.421,0.207,0.757,0.243,0.757,0.243,False
RNASE7,0.0408352658582932,0.3224644427520633,0.545,0.4549999999999999,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.373,0.122,0.545,0.455,0.545,0.45499999999999996,False
RNF17,-0.0493335672985332,0.3335946006996822,0.445,0.445,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.354,0.14,0.445,0.555,0.445,0.445,False
RNF170,-0.3442216864066686,0.3563278216030193,0.157,0.157,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.584,0.321,0.157,0.843,0.157,0.157,False
ROBO1,-0.0501199421284577,0.3295651162164554,0.435,0.435,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.366,0.135,0.435,0.565,0.435,0.435,False
ROGDI,-0.0413074494634446,0.3321250316692332,0.436,0.436,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.372,0.133,0.436,0.564,0.436,0.436,False
RPF1,0.1618696673812508,0.3426664284724654,0.697,0.303,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.442,0.194,0.697,0.303,0.697,0.30300000000000005,False
RPL13A,0.0340535481544195,0.3262617606285566,0.53,0.47,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.352,0.139,0.53,0.47,0.53,0.47,False
RPL7A,0.12534997174978,0.3377664089512207,0.642,0.358,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.396,0.166,0.642,0.358,0.642,0.358,False
RPS6KB1,-0.1066699203675258,0.3211145347507401,0.37,0.37,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.346,0.135,0.37,0.63,0.37,0.37,False
RPTN,-0.041938869648482,0.3188988056303973,0.437,0.437,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.357,0.128,0.437,0.563,0.437,0.437,False
RRBP1,0.0583099275864816,0.333699927439461,0.579,0.421,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.366,0.138,0.579,0.421,0.579,0.42100000000000004,False
RSL24D1,0.2494604751042032,0.3740427046804255,0.74,0.26,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.507,0.272,0.74,0.26,0.74,0.26,False
