gene,nb_improved_effect,nb_improved_psp,nb_improved_lfsr,bb_effect,bb_psp,bb_lfsr,pl_effect,pl_psp,pl_lfsr,nb_joint_effect,nb_joint_psp,nb_joint_lfsr
HNRNPM,0.228,0.695,0.305,0.534,0.98,0.02,0.551,1.0,0.0,-0.0647825664752313,0.463,0.463
HNRNPU,0.163,0.635,0.365,0.605,0.986,0.014,0.425,1.0,0.0,0.0446740607010771,0.529,0.471
HYPK,0.216,0.658,0.3419999999999999,0.498,0.978,0.022,0.548,1.0,0.0,-0.0669060225322864,0.443,0.443
IARS2,0.183,0.658,0.3419999999999999,0.511,0.98,0.02,0.494,1.0,0.0,-0.0043664305947376,0.496,0.496
IKZF3,0.266,0.749,0.251,0.649,0.993,0.007,0.721,1.0,0.0,0.0555759173611554,0.555,0.4449999999999999
IPO8,0.199,0.657,0.3429999999999999,0.49,0.981,0.019,0.565,1.0,0.0,-0.0348582845945201,0.466,0.466
IRF4,-0.404,0.193,0.193,-0.914,0.0,0.0,-0.925,0.0,0.0,-0.993398845680835,0.015,0.015
ITPKB,-0.251,0.214,0.214,-0.589,0.006,0.006,-0.647,0.0,0.0,-0.9381182531645508,0.012,0.012
KAT7,0.327,0.776,0.2239999999999999,0.732,0.999,0.001,0.888,1.0,0.0,0.1208900468261105,0.589,0.411
KIDINS220,0.17,0.657,0.3429999999999999,0.577,0.992,0.008,0.528,1.0,0.0,0.0041767243702525,0.506,0.494
KMT2D,0.346,0.771,0.2289999999999999,0.756,0.997,0.003,0.744,1.0,0.0,0.0954243486413996,0.572,0.428
LCP2,0.522,0.89,0.1099999999999999,1.08,1.0,0.0,1.33,1.0,0.0,0.5457618357852091,0.892,0.1079999999999999
LSM10,-0.158,0.361,0.361,-0.385,0.052,0.052,-0.388,0.0,0.0,-0.6100932535576056,0.098,0.098
MBD2,-0.15,0.374,0.374,-0.458,0.033,0.033,-0.421,0.0,0.0,-0.6480446944835515,0.089,0.089
MCRS1,0.163,0.65,0.35,0.445,0.972,0.028,0.409,1.0,0.0,-0.091198066068349,0.433,0.433
MEAF6,0.408,0.847,0.153,0.82,1.0,0.0,1.139,1.0,0.0,0.3541361011940658,0.814,0.186
MED10,0.355,0.814,0.186,0.812,0.998,0.002,0.87,1.0,0.0,0.1409891584221131,0.637,0.363
MED11,0.234,0.706,0.294,0.991,0.999,0.001,0.505,1.0,0.0,0.0857023702215153,0.571,0.429
MED12,0.184,0.662,0.3379999999999999,0.503,0.984,0.016,0.589,1.0,0.0,-0.0515049388169549,0.449,0.449
MED14,0.196,0.654,0.346,0.431,0.955,0.045,0.573,1.0,0.0,-0.0125284140811258,0.493,0.493
MED30,0.536,0.905,0.0949999999999999,1.173,1.0,0.0,1.083,1.0,0.0,0.4294944067143708,0.828,0.172
MED31,0.269,0.761,0.239,0.69,0.998,0.002,0.769,1.0,0.0,0.0871053698637529,0.57,0.43
METTL3,0.138,0.63,0.37,0.419,0.949,0.051,0.353,1.0,0.0,-0.0998161482257814,0.402,0.402
MGEA5,-0.215,0.302,0.302,-0.397,0.049,0.049,-0.516,0.0,0.0,-0.7019322736962181,0.062,0.062
MIDN,0.336,0.847,0.153,1.058,1.0,0.0,0.891,1.0,0.0,0.2839054786617327,0.775,0.2249999999999999
MMS19,-0.196,0.326,0.326,-0.446,0.025,0.025,-0.683,0.0,0.0,-0.527962696116692,0.131,0.131
MTF1,-0.3,0.242,0.242,-0.63,0.005,0.005,-0.723,0.0,0.0,-0.8835817260888007,0.021,0.021
NAA15,0.222,0.686,0.3139999999999999,0.523,0.986,0.014,0.553,1.0,0.0,0.0353293873172797,0.525,0.475
NAB2,0.256,0.738,0.262,0.742,0.999,0.001,0.671,1.0,0.0,0.1609570737988153,0.644,0.356
NCBP1,0.36,0.783,0.2169999999999999,0.726,0.999,0.001,0.926,1.0,0.0,0.1322676368286544,0.616,0.384
NCOA3,0.207,0.692,0.308,0.485,0.964,0.036,0.457,1.0,0.0,-0.0540639827893297,0.435,0.435
NCOR1,-0.234,0.254,0.254,-0.599,0.004,0.004,-0.819,0.0,0.0,-0.9704798234082106,0.01,0.01
NCOR2,-0.326,0.219,0.219,-0.808,0.0,0.0,-0.775,0.0,0.0,-0.9911755874007772,0.016,0.016
NMNAT1,0.154,0.665,0.3349999999999999,0.483,0.963,0.037,0.523,1.0,0.0,-0.1148084242074494,0.398,0.398
NMT1,-0.166,0.328,0.328,-0.53,0.025,0.025,-0.444,0.0,0.0,-0.7085476781585117,0.04,0.04
NOSIP,0.185,0.719,0.281,0.506,0.988,0.012,0.553,1.0,0.0,-0.0509220877961062,0.441,0.441
ORAI1,0.177,0.7,0.3,0.401,0.947,0.053,0.426,1.0,0.0,-0.1474116229218475,0.34,0.34
PABPC1,0.21,0.688,0.312,0.51,0.984,0.016,0.477,1.0,0.0,-0.0096928844121891,0.499,0.499
PAXBP1,0.169,0.638,0.362,0.373,0.946,0.054,0.444,1.0,0.0,-0.1048730107408085,0.429,0.429
PCGF1,0.258,0.726,0.274,0.579,0.993,0.007,0.609,1.0,0.0,0.0022466175451037,0.495,0.495
PCGF5,0.179,0.66,0.3399999999999999,0.417,0.964,0.036,0.536,1.0,0.0,-0.0603982631338539,0.454,0.454
PCID2,0.158,0.653,0.347,0.507,0.986,0.014,0.528,1.0,0.0,-0.0991975416552698,0.408,0.408
PFDN2,0.235,0.685,0.3149999999999999,0.588,0.994,0.006,0.57,1.0,0.0,0.025843655608288,0.517,0.483
PFN1,-0.232,0.274,0.274,-0.693,0.005,0.005,-0.639,0.0,0.0,-0.8801933621509945,0.013,0.013
PGM3,0.466,0.871,0.129,0.891,1.0,0.0,1.249,1.0,0.0,0.3903990018446996,0.818,0.182
PHF6,0.157,0.655,0.345,0.434,0.972,0.028,0.443,1.0,0.0,-0.0675915684051155,0.434,0.434
PHIP,0.268,0.747,0.253,0.633,0.998,0.002,0.648,1.0,0.0,0.071001467348743,0.56,0.4399999999999999
