gene,beta_mean_nuts,beta_sd_nuts,p_beta_gt_0_norm,p_beta_lt_0_norm,psp_norm,lfsr_norm,p_abs_beta_ge_0_3_norm,p_abs_beta_ge_0_5_norm,n_obs,n_sgrna,n_sample,chains,draws,tune,hit,psp_delta,lfsr_delta,p_abs_0_3_delta,p_abs_0_5_delta
MANF,0.1689558726735673,0.1143263172678386,0.9302745408521702,0.06972545914782978,0.9302745408521702,0.06972545914782978,0.1258707172720448,0.0018921301522230633,16,4,4,3,1000,1500,False,0.0012745408521701584,-0.0012745408521701168,-0.0004626160612885011,0.0015587968188897632
MAP1B,0.0976932023058918,0.1202137516684033,0.7917941929694424,0.20820580703055758,0.7917941929694424,0.20820580703055758,0.046667430485793374,0.0004093839669235498,16,4,4,3,1000,1500,False,0.011794192969442396,-0.011794192969442313,0.002667430485793376,7.60506335902498e-05
MAP1LC3A,-0.1678392311082376,0.1071422738122669,0.058614866363113416,0.9413851336368866,0.9413851336368866,0.058614866363113416,0.10869960332845258,0.0009670023387662875,16,4,4,3,1000,1500,False,0.8830518003035532,0.00028153302978011635,0.0006996033284525777,0.0003003356720996875
MAP2K1,-0.1974769719710787,0.1099686764555012,0.03626662122166957,0.9637333787783304,0.9637333787783304,0.03626662122166957,0.17559559726424817,0.0029707483263143896,16,4,4,3,1000,1500,False,0.9284000454449971,0.0009332878883362705,0.005595597264248159,0.0009707483263143896
MAP2K2,-0.0943849007898851,0.1088451433739866,0.19293032988927727,0.8070696701107227,0.8070696701107227,0.19293032988927727,0.029587239239753964,9.708924358111734e-05,16,4,4,3,1000,1500,False,0.6160696701107227,0.0019303298892772713,0.0012539059064206638,9.708924358111734e-05
MAP2K4,-0.1444493774740555,0.1155271333296227,0.10558581888376839,0.8944141811162316,0.8944141811162316,0.10558581888376839,0.08913970534913224,0.0010432553838401486,16,4,4,3,1000,1500,False,0.784747514449565,-0.004080847782898217,-0.0031936279842010584,0.0003765887171735486
MAP2K6,0.1022043105527363,0.121903858156653,0.7990972221082979,0.20090277789170208,0.7990972221082979,0.20090277789170208,0.052826838879618324,0.0005512149964103631,16,4,4,3,1000,1500,False,9.722210829787858e-05,-9.722210829782307e-05,-0.0011731611203816758,0.0005512149964103631
MAP3K10,0.1189051095037103,0.1105725906449348,0.8588927398612661,0.14110726013873387,0.8588927398612661,0.14110726013873387,0.050808336045762084,0.0002838988100497877,16,4,4,3,1000,1500,False,0.01355940652793275,-0.013559406527932721,0.003808336045762084,-0.00038276785661681226
MAP3K15,-0.1761945411702067,0.1098258533481614,0.05432304311254654,0.9456769568874535,0.9456769568874535,0.05432304311254654,0.12981744768984832,0.0015973570417043045,16,4,4,3,1000,1500,False,0.8923436235541201,0.0009897097792132409,-0.0021825523101516864,0.0015973570417043045
MAP3K3,0.1049491481157652,0.1084722325808534,0.8333581416517508,0.16664185834824924,0.8333581416517508,0.16664185834824924,0.036170048945837974,0.00013530059313203308,16,4,4,3,1000,1500,False,0.005024808318417451,-0.0050248083184173675,0.004170048945837973,0.00013530059313203308
MAP3K4,0.0782066157400614,0.1080011008592779,0.7655064065552496,0.2344935934447504,0.7655064065552496,0.2344935934447504,0.020237165179346477,4.706731319800588e-05,16,4,4,3,1000,1500,False,-0.0041602601114171245,0.004160260111417208,-9.616815398682393e-05,4.706731319800588e-05
MAP3K6,-0.1819812566052286,0.1106840229330737,0.05007249879545583,0.9499275012045442,0.9499275012045442,0.05007249879545583,0.143158102164805,0.002031602459883173,16,4,4,3,1000,1500,False,0.9029275012045441,0.003072498795455833,-0.0008418978351949769,3.160245988317314e-05
MAP3K7,0.1640631447204028,0.1171341174705975,0.9193396526880875,0.08066034731191246,0.9193396526880875,0.08066034731191246,0.12295512829735646,0.002065596271119341,16,4,4,3,1000,1500,False,-0.0026603473119125587,0.0026603473119125587,0.0016217949640231627,-0.0009344037288806593
MAP3K7CL,-0.1158339075040305,0.1075125612974865,0.1406510638193692,0.8593489361806308,0.8593489361806308,0.1406510638193692,0.043413689924271914,0.0001763138482969978,16,4,4,3,1000,1500,False,0.7223489361806308,0.0036510638193691936,0.006413689924271916,-0.0001570194850363022
MAP4K1,-0.3064413115958639,0.1127445346679187,0.003283745218227496,0.9967162547817725,0.9967162547817725,0.003283745218227496,0.5227799822508362,0.04300877540106842,16,4,4,3,1000,1500,False,0.9943829214484392,0.0009504118848941961,0.0011133155841696052,-0.0009912245989315768
MAP4K2,-0.1720654063455086,0.1158926423823234,0.06881211298892054,0.9311878870110795,0.9311878870110795,0.06881211298892054,0.13484011443259142,0.0023300150621274264,16,4,4,3,1000,1500,False,0.8605212203444128,-0.0018545536777460625,0.002506781099258115,0.0013300150621274264
