gene,chains,tune,beta_mean_nuts,psp_nuts,lfsr_nuts,n_obs,beta_sd_nuts,n_sgrna,draws,n_sample,p_abs_beta_ge_0_3,p_abs_beta_ge_0_5,p_beta_gt_0,p_beta_lt_0,psp_draws,lfsr_draws,hit
AGFG1,2,1000,-0.1896771938825921,0.032,0.032,16,0.1046242515605002,4,1000,4,0.1505,0.0035,0.032,0.968,0.032,0.032,False
AGPAT6,2,1000,0.106411723711286,0.7525,0.2475,16,0.1541943619320663,4,1000,4,0.107,0.0045,0.7525,0.2475,0.7525,0.24750000000000005,False
AGPAT9,2,1000,-0.1486852039599643,0.095,0.095,16,0.1126797812812692,4,1000,4,0.091,0.0,0.095,0.905,0.095,0.095,False
AGTRAP,2,1000,-0.1385052843248161,0.113,0.113,16,0.1138097560759208,4,1000,4,0.081,0.0,0.113,0.887,0.113,0.113,False
AHCY,2,1000,-0.1129490927618049,0.163,0.163,16,0.1175366527104442,4,1000,4,0.0515,0.0,0.163,0.837,0.163,0.163,False
AIP,2,1000,-1.0562444874157535,0.0,0.0,16,0.1765613954202425,4,1000,4,1.0,0.9945,0.0,1.0,0.0,0.0,True
AJAP1,2,1000,-0.1086984570133438,0.1715,0.1715,16,0.1144007778024725,4,1000,4,0.0535,0.0,0.1715,0.8285,0.1715,0.1715,False
AK6,2,1000,0.1502445058672549,0.9075,0.0925,16,0.1126801287238529,4,1000,4,0.0845,0.0015,0.9075,0.0925,0.9075,0.09250000000000003,False
AKAP9,2,1000,-0.1480884919855092,0.107,0.107,16,0.1175780307869133,4,1000,4,0.101,0.001,0.107,0.893,0.107,0.107,False
AKIRIN1,2,1000,-0.074731344543347,0.214,0.214,16,0.0972340191810825,4,1000,4,0.009,0.0,0.214,0.786,0.214,0.214,False
AKIRIN2,2,1000,0.2361022825383943,0.9745,0.0254999999999999,16,0.1170297168711645,4,1000,4,0.2925,0.0105,0.9745,0.0255,0.9745,0.025499999999999967,False
AKR1C1,2,1000,-0.1174054321797997,0.1465,0.1465,16,0.1118780328225619,4,1000,4,0.0475,0.0,0.1465,0.8535,0.1465,0.1465,False
ALDH18A1,2,1000,0.2036414113326553,0.9605,0.0394999999999999,16,0.1167896598180613,4,1000,4,0.214,0.0055,0.9605,0.0395,0.9605,0.03949999999999998,False
ALDH9A1,2,1000,-0.0488253201902406,0.3005,0.3005,16,0.0919589006552543,4,1000,4,0.004,0.0,0.3005,0.6995,0.3005,0.3005,False
ALDOA,2,1000,0.5062350849070915,0.9995,0.0004999999999999,16,0.1546602074596856,4,1000,4,0.9105,0.519,0.9995,0.0005,0.9995,0.0004999999999999449,True
ALG1,2,1000,0.4609310025665571,0.9965,0.0034999999999999,16,0.1789832479555347,4,1000,4,0.984,0.7915,1.0,0.0,1.0,0.0,True
ALG11,2,1000,0.3728444453971871,0.9835,0.0164999999999999,16,0.1828929719797498,4,1000,4,0.925,0.5635,1.0,0.0,1.0,0.0,True
ALG12,2,1000,0.2471833230474948,0.986,0.014,16,0.1151184912340713,4,1000,4,0.32,0.016,0.986,0.014,0.986,0.014000000000000012,False
ALG13,2,1000,0.8532147683816419,1.0,0.0,16,0.1589332371820022,4,1000,4,0.9995,0.988,1.0,0.0,1.0,0.0,True
ALG14,2,1000,0.1779695448342328,0.941,0.059,16,0.116346386118504,4,1000,4,0.144,0.0025,0.941,0.059,0.941,0.05900000000000005,False
ALG2,2,1000,0.9944910073088984,1.0,0.0,16,0.1780182015123714,4,1000,4,1.0,1.0,1.0,0.0,1.0,0.0,True
ALG3,2,1000,0.2432193938044519,1.0,0.0,16,0.1185744770610244,4,1000,4,0.3023255813953488,0.023255813953488372,1.0,0.0,1.0,0.0,False
ALG5,2,1000,0.357427683447813,1.0,0.0,16,0.1001842053967265,4,1000,4,0.7209302325581395,0.06976744186046512,1.0,0.0,1.0,0.0,False
ALG8,2,1000,0.1456354986833943,0.9405,0.0595,16,0.0926933148900438,4,1000,4,0.051,0.0,0.9405,0.0595,0.9405,0.0595,False
ALG9,2,1000,0.2799775113111002,1.0,0.0,16,0.1239283666082375,4,1000,4,0.4418604651162791,0.0,1.0,0.0,1.0,0.0,False
ALKBH4,2,1000,-0.0882473499774791,0.182,0.182,16,0.0982354632009759,4,1000,4,0.014,0.0,0.182,0.818,0.182,0.182,False
ALKBH5,2,1000,-0.703521268996521,0.0,0.0,16,0.1496539942782568,4,1000,4,0.9955,0.918,0.0,1.0,0.0,0.0,True
ALOX15B,2,1000,-0.0845804549820235,0.176,0.176,16,0.0949517054348573,4,1000,4,0.0115,0.0,0.176,0.824,0.176,0.176,False
ALPK1,2,1000,0.0916063053718232,0.8275,0.1725,16,0.0946963291272832,4,1000,4,0.013,0.0,0.8275,0.1725,0.8275,0.1725,False
ALS2CL,2,1000,-0.1390101694903648,0.098,0.098,16,0.1104735462712932,4,1000,4,0.0765,0.0,0.098,0.902,0.098,0.098,False
ALX1,2,1000,-0.54326648150155,0.0,0.0,16,0.1489446629722948,4,1000,4,0.9485,0.6145,0.0,1.0,0.0,0.0,True
ALYREF,2,1000,0.2896131161214248,0.9915,0.0084999999999999,16,0.1213364200618788,4,1000,4,0.473,0.037,0.9915,0.0085,0.9915,0.008499999999999952,False
AMD1,2,1000,-0.8512272421935269,0.0,0.0,16,0.1766886477251195,4,1000,4,0.99,0.8825,0.0,1.0,0.0,0.0,True
AMHR2,2,1000,-0.0810594315114096,0.217,0.217,16,0.1084099952160736,4,1000,4,0.0255,0.0,0.217,0.783,0.217,0.217,False
AMIGO1,2,1000,0.1222077161145113,0.9005,0.0995,16,0.0960785536502576,4,1000,4,0.03,0.0,0.9005,0.0995,0.9005,0.09950000000000003,False
AMN,2,1000,0.2145798576505678,0.9069767441860463,0.0930232558139535,16,0.1356523819679788,4,1000,4,0.20930232558139536,0.023255813953488372,0.9069767441860465,0.09302325581395349,0.9069767441860465,0.09302325581395354,False
AMY1A,2,1000,0.2931066456059692,0.994,0.006,16,0.1171520036719422,4,1000,4,0.491,0.0395,0.994,0.006,0.994,0.006000000000000005,False
ANGPTL4,2,1000,-0.1061276245066217,0.123,0.123,16,0.0921618826958113,4,1000,4,0.021,0.0,0.123,0.877,0.123,0.123,False
ANKFN1,2,1000,0.0889792051779762,0.8145,0.1855,16,0.0946501690685412,4,1000,4,0.0105,0.0,0.8145,0.1855,0.8145,0.1855,False
ANKFY1,2,1000,-0.1121139996048951,0.1565,0.1565,16,0.1148403451469894,4,1000,4,0.0555,0.001,0.1565,0.8435,0.1565,0.1565,False
ANKH,2,1000,-0.4555652143329357,0.0025,0.0025,16,0.1473384024386056,4,1000,4,0.8515,0.3735,0.0025,0.9975,0.0025,0.0025,True
ANKIB1,2,1000,-0.2073746716227781,0.0,0.0,16,0.1205676482933552,4,1000,4,0.27906976744186046,0.0,0.0,1.0,0.0,0.0,False
