gene,beta_mean,beta_sd,psp,lfsr,gamma_mean,phi_mean,n_sgrna,n_sample,chains,draws,tune,p_abs_beta_ge_0_3,hit
HIRA,-0.4390236342076262,0.4651549515034165,0.1765,0.1765,5.553682802219338,4.217745228915506,4,4,2,1000,1000,0.583,False
IRF4,-0.5652123922093845,0.5192891512601874,0.1395,0.1395,4.7068553034266385,4.081435028664974,4,4,2,1000,1000,0.6625,False
ITPKB,-0.3032170940823587,0.4281029214351973,0.2435,0.2435,5.867820367135844,4.456528384478295,4,4,2,1000,1000,0.4595,False
JUNB,-0.2393884330672591,0.4132967945871976,0.2815,0.2815,4.889023258948006,3.7566360864443986,4,4,2,1000,1000,0.451,False
KIAA2013,-0.1230456096597328,0.3760705809577436,0.376,0.376,5.685796653432799,3.4372871775101697,4,4,2,1000,1000,0.3785,False
LCP2,0.822103373731303,0.5762803336762728,0.9405,0.0595,4.978075771180464,3.540794791444645,4,4,2,1000,1000,0.795,False
LSM11,-0.1756061930857202,0.375435121756577,0.322,0.322,5.448399241005529,4.196518689323612,4,4,2,1000,1000,0.402,False
MCM5,-0.2810892024716476,0.4387897935570836,0.2715,0.2715,5.197139131635805,3.9268244144513864,4,4,2,1000,1000,0.4765,False
MEAF6,0.5804397988581543,0.5191389703636197,0.881,0.119,5.496956636895986,3.1714473973577513,4,4,2,1000,1000,0.675,False
MED19,0.4586338967937727,0.5047484496773698,0.83,0.17,5.6084524425707825,3.0640247194091343,4,4,2,1000,1000,0.5755,False
MED30,0.9172070288331584,0.5666250235260237,0.958,0.042,5.02563969709636,3.6877739698537457,4,4,2,1000,1000,0.851,True
MED8,0.4686555787009187,0.5067706176511396,0.817,0.183,4.731707714784775,3.907794608103504,4,4,2,1000,1000,0.5865,False
MIDN,0.7396850459823071,0.5634476749802787,0.907,0.0929999999999999,5.031561690234954,3.9590117962207887,4,4,2,1000,1000,0.762,False
MTF1,-0.3899979999206655,0.4562974513002814,0.198,0.198,5.4725470133688106,4.431699115162008,4,4,2,1000,1000,0.552,False
NCOR1,-0.3271300639462739,0.4467970366807505,0.244,0.244,4.881205356602617,3.961957905406626,4,4,2,1000,1000,0.4935,False
NCOR2,-0.5252567439519976,0.5109371537407479,0.148,0.148,5.2047178243069245,3.663422531559788,4,4,2,1000,1000,0.6495,False
NUS1,0.4388354261409469,0.4925096381550356,0.82,0.18,4.121771813341671,2.9203627517178683,4,4,2,1000,1000,0.596,False
PFN1,-0.3371574817896532,0.4308884234903405,0.223,0.223,5.399272686832222,4.245796742327162,4,4,2,1000,1000,0.5175,False
PGM3,0.690134797076097,0.5277470733903642,0.9045,0.0955,5.841469582643236,3.837352589331815,4,4,2,1000,1000,0.7585,False
PREB,0.6369373060067106,0.5281967444915779,0.898,0.1019999999999999,4.5858473505259925,3.753108215283589,4,4,2,1000,1000,0.7115,False
PRKAR1A,-0.2754789262069916,0.4272974955404884,0.263,0.263,5.756419273272042,4.6303305170160005,4,4,2,1000,1000,0.457,False
RBPJ,-0.7735965506223563,0.5690492598319418,0.0665,0.0665,5.432558224929889,3.290414020933228,4,4,2,1000,1000,0.782,False
RNF113A,0.5148006324076317,0.5101353385603927,0.8715,0.1284999999999999,5.19883818610477,3.744316487683982,4,4,2,1000,1000,0.5935,False
RNF40,0.4409656506334382,0.4879536785496193,0.8235,0.1765,5.049993964667442,3.8655662864896705,4,4,2,1000,1000,0.587,False
RPN1,1.3302479923865929,0.595162277587189,0.991,0.009,5.650332746059735,3.4305137141713304,4,4,2,1000,1000,0.9505,True
RPN2,0.7405461956361489,0.5469741839177925,0.928,0.0719999999999999,4.824816687938774,3.6510685931631777,4,4,2,1000,1000,0.756,False
SIK3,-0.453260288255971,0.4893239888791265,0.178,0.178,4.876508932941719,3.502799346964499,4,4,2,1000,1000,0.614,False
SMAD3,1.6989644790868557,0.5869255825552989,0.9965,0.0034999999999999,5.431408583167923,3.367818617631087,4,4,2,1000,1000,0.9895,True
SMAD4,1.4682401840528765,0.5493112275202995,0.9955,0.0044999999999999,5.5372408451879345,3.2823336252496187,4,4,2,1000,1000,0.978,True
SMARCA4,0.7107445025568222,0.5534472414627348,0.912,0.0879999999999999,5.195969967663617,3.029423755870298,4,4,2,1000,1000,0.7415,False
SMARCB1,2.2411556060790216,0.6151472078824215,1.0,0.0,5.7837423949152855,3.137593977823528,4,4,2,1000,1000,0.9985,True
SMARCE1,0.8264499137455128,0.6393872776257622,0.9185,0.0815,5.4554506157274885,1.7792173239084412,4,4,2,1000,1000,0.78,False
SNX13,-0.1438136658714633,0.3760451664571475,0.3625,0.3625,5.702212944059042,4.098814353778251,4,4,2,1000,1000,0.3845,False
STAT5A,0.5724242177016755,0.4893008114962732,0.884,0.1159999999999999,5.1076335073679395,3.87184433168054,4,4,2,1000,1000,0.6865,False
STAT5B,1.2032706616634063,0.5717061717224556,0.984,0.016,5.16170019490941,3.795275385391287,4,4,2,1000,1000,0.9415,True
TAF2,0.5200717943964064,0.5023299191065068,0.8655,0.1344999999999999,5.039219715985495,3.830066561276949,4,4,2,1000,1000,0.6385,False
TAF6,0.7376535245870051,0.5709077471212995,0.911,0.0889999999999999,5.050927053672576,4.060937195758383,4,4,2,1000,1000,0.744,False
TET2,0.4904617086554926,0.5170745727398814,0.8525,0.1474999999999999,5.071654441524495,3.971316123151673,4,4,2,1000,1000,0.607,False
TGFBR1,1.8266163472511672,0.6205282990085634,0.999,0.001,5.148828937257725,3.0135390876427888,4,4,2,1000,1000,0.993,True
TGFBR2,1.592010681380054,0.5765770522699868,0.997,0.003,5.800109206834955,3.3536720417974255,4,4,2,1000,1000,0.9895,True
TLE3,-0.5441559896912042,0.510233507236443,0.133,0.133,4.928066817952654,4.346319037406926,4,4,2,1000,1000,0.66,False
TMEM258,0.8814027649890914,0.5580752816742277,0.954,0.046,5.795870304523752,4.356765613513102,4,4,2,1000,1000,0.8395,True
TMEM30A,-0.2815601717600799,0.4242544393950354,0.279,0.279,5.033584440199372,3.8472173601366455,4,4,2,1000,1000,0.4465,False
TRAPPC3,0.4590913523151109,0.5006751549256292,0.8425,0.1574999999999999,4.85512938429162,2.7703779589868427,4,4,2,1000,1000,0.5885,False
UHRF1,-0.5468469811630766,0.5029672612342038,0.1385,0.1385,5.120050266342407,3.787027138193272,4,4,2,1000,1000,0.6605,False
USO1,1.318756776145268,0.5911656255944262,0.9875,0.0124999999999999,6.204473526120686,4.336896391135655,4,4,2,1000,1000,0.9525,True
XRCC3,-0.3325359042101818,0.4450890283484298,0.2305,0.2305,4.866801258455278,4.108290647831215,4,4,2,1000,1000,0.4865,False
ZBTB7B,-0.6009104823086509,0.5478784575541916,0.131,0.131,5.34696900707273,4.31995404459141,4,4,2,1000,1000,0.662,False
ZC3H12A,-0.373070433700428,0.4322708439047307,0.1965,0.1965,5.817498933698333,4.295875279897471,4,4,2,1000,1000,0.5525,False
ZNF26,-0.1507025372949083,0.371706759399516,0.3505,0.3505,5.041335622881152,3.960658715476652,4,4,2,1000,1000,0.353,False
ZNF384,-0.26897194959542,0.4222384570391693,0.2695,0.2695,4.5848092740224065,4.41521027876846,4,4,2,1000,1000,0.455,False
ZNF592,-0.2190235326722611,0.4103140937443171,0.303,0.303,5.462765510455567,3.852613253239032,4,4,2,1000,1000,0.4215,False
AIP,-0.3379725575126291,0.4502012241854659,0.229,0.229,5.037803213353593,4.169908548382954,4,4,2,1000,1000,0.508,False
BAZ1B,-0.3004650693428871,0.4366881813499488,0.265,0.265,5.1157975339255675,3.742065303113588,4,4,2,1000,1000,0.4855,False
BRK1,-0.3004449935049661,0.4271079762509077,0.2925,0.2925,5.250204277546899,3.9593230743858814,4,4,2,1000,1000,0.4425,False
CABIN1,-0.2534892454072068,0.4138451350793407,0.276,0.276,5.5225480319356866,3.86559554613944,4,4,2,1000,1000,0.4435,False
EDC4,-0.2528776530737864,0.4087956795399705,0.279,0.279,5.098967184285518,4.508824153043129,4,4,2,1000,1000,0.4405,False
EED,-0.3287954200203228,0.4375916803176878,0.235,0.235,5.100966808297377,3.8092864124878303,4,4,2,1000,1000,0.4825,False
ETS1,-0.5056947384261171,0.4850265865263474,0.135,0.135,4.22286701836451,4.271543796267252,4,4,2,1000,1000,0.623,False
FBXO42,-0.2908771390361223,0.4241871337454717,0.249,0.249,5.346193660492431,4.631834237275791,4,4,2,1000,1000,0.4595,False
NCKAP1L,-0.2359695630174142,0.4323498535188397,0.2735,0.2735,5.620574976936797,4.394786803023319,4,4,2,1000,1000,0.4655,False
SPOP,-0.2650284045694628,0.4416382937879808,0.2685,0.2685,5.357828324958491,3.752575189966239,4,4,2,1000,1000,0.462,False
STK11,-0.3678173088610421,0.4566690576591394,0.211,0.211,4.855643850436427,4.047927582073802,4,4,2,1000,1000,0.518,False
TBL1XR1,-0.5348656939004293,0.5178258173569034,0.1425,0.1425,5.079193645981943,4.2468109765278585,4,4,2,1000,1000,0.6295,False
TMEM115,-0.2806751659304701,0.4561754106518996,0.278,0.278,4.608457611693,2.6995480438856023,4,4,2,1000,1000,0.4785,False
TNRC18,-0.2929874148254257,0.4336997084825147,0.2615,0.2615,5.2357556851537845,4.450268216748449,4,4,2,1000,1000,0.4795,False
YBX1,-0.1602449176399356,0.3692269547318572,0.417,0.417,5.0851977333289415,4.217473311584653,4,4,2,1000,1000,0.2935,False
PAICS,-0.283176092643821,0.4250999330754099,0.266,0.266,5.160299303624381,3.738198380837267,4,4,2,1000,1000,0.445,False
MCMBP,-0.2153318073526034,0.4060991673845974,0.3125,0.3125,4.1217834026347395,3.4038142864431644,4,4,2,1000,1000,0.4075,False
