gene,effect_mean,effect_var,k,sigma2,tau2,post_mean,post_se,z,p_two,lfdr,p_abs_ge_thr,hit
WDR20,0.0667270823840145,0.15868221308953206,8,0.019835276636191508,0.02133913902715923,0.034582117679853364,0.10138970398908112,0.341081158335146,0.7330424851322541,0.9999435159571005,0.004908434242998943,False
WDR24,0.01880138924116209,0.18422850906820323,8,0.023028563633525404,0.02133913902715923,0.009042736830194548,0.10524183232521774,0.08592340736001947,0.9315273039375058,0.9999435159571005,0.004508848461560419,False
WDR25,0.5911766097447544,0.20709482434001744,8,0.02588685304250218,0.02133913902715923,0.2671240838379791,0.10815274101962537,2.4698780753925305,0.013515910994609248,0.409871599711783,0.38057288985634785,False
WDR26,-0.1766366867860732,0.3581210144612843,8,0.04476512680766054,0.02133913902715923,-0.05702014490325626,0.12021083473420513,-0.47433448931065103,0.6352614007931262,0.9999435159571005,0.023114593597846667,False
WDR27,0.1693553037548282,0.5266186516224967,8,0.06582733145281208,0.02133913902715923,0.04145970752184401,0.12694536271746035,0.3265948959011604,0.7439743045129419,0.9999435159571005,0.024418309397785578,False
WDR3,-0.2502135843142887,1.2020862696809231,8,0.1502607837101154,0.02133913902715923,-0.031115063322849808,0.13669503083372742,-0.2276239533586077,0.8199385966498686,0.9999435159571005,0.03230066468518243,False
WDR31,-0.0036202212604161954,0.15018237033209844,8,0.018772796291512305,0.02133913902715923,-0.0019259206560681432,0.09993465604929666,-0.01927179951585672,0.9846242804761219,0.9999435159571005,0.0026873732394594968,False
WDR33,-0.09621343125671092,0.15919962971612825,8,0.01989995371451603,0.02133913902715923,-0.04978557115036033,0.10147520292430877,-0.4906180989605492,0.6236965829737011,0.9999435159571005,0.007119388702742088,False
WDR34,-0.3700693040360502,0.15661253682162934,8,0.019576567102703668,0.02133913902715923,-0.19300559798345082,0.1010442697970311,-1.9101092854759958,0.05611914370065728,0.8391175986745742,0.14482629461086205,False
WDR35,0.1948205519654607,0.11198046572480991,8,0.013997558215601238,0.02133913902715923,0.11764831373963744,0.09193938828512319,1.2796290679549174,0.2006756217742156,0.9999435159571005,0.023664705306522,False
WDR36,0.22853319427071572,0.5819665391805647,8,0.07274581739757059,0.02133913902715923,0.05183295810701754,0.1284494847347408,0.4035279566442562,0.6865598725915807,0.9999435159571005,0.029759088107056287,False
WDR37,-0.09432951012991547,0.4226427725167889,8,0.05283034656459861,0.02133913902715923,-0.02713933519918841,0.12328707323759996,-0.22013123100817908,0.8257689524834813,0.9999435159571005,0.0174248184049648,False
WDR38,0.12348809020356202,0.21666183082171028,8,0.027082728852713785,0.02133913902715923,0.05442023698031494,0.10924809886007465,0.49813440735491943,0.6183893105187916,0.9999435159571005,0.01287995425645247,False
