gene,post_mean,lfdr,p_abs_ge_thr
CHTF18,-0.3856674731222601,0.016852308289927207,0.8019629693742362
CLINT1,0.24320451000976492,0.014005340310065468,0.18217228376834405
CNIH1,0.20332706696672428,0.0651754362431762,0.054543365719325644
COL4A3,0.25157134338575593,0.06782646371810665,0.2592155139606107
COX14,0.15962886781298316,0.005831434508505945,0.00013148922503125604
CPN2,-0.29788551985468475,5.1718376719047763e-05,0.48507586223636157
CRAT,-0.21188980501299043,0.08999365778019847,0.08984101115443521
CRTC2,0.36657932268383275,0.00755737478467921,0.7702059690327993
CSNK2A1,0.5068637330921701,5.8550955843061914e-05,0.9835616713954638
CTDNEP1,0.4400544326574155,0.008276345744190184,0.9012177898945591
CXorf56,0.32634417818835953,0.016467536804545442,0.6214914044288623
CYLD,0.3779976018240603,0.09093463145296522,0.7468215289006359
CYP2D6,-0.13465597229120696,0.008969718303441182,3.936117920684895e-07
DAD1,1.1740399465314177,0.0,0.9999999999995871
DAXX,-0.3176449522963938,0.06380394877132858,0.5744926939691801
DAZAP1,0.2828623156584354,0.0005999291124785882,0.3876059612703515
DCAF16,0.22439598439155523,0.05217078451661157,0.12190140400024073
DEFA5,-0.28234566940333405,0.011146135765933653,0.4024351218683885
DHDDS,0.3643445438551861,0.015220128341910066,0.7520334579649316
DHX36,1.0383194395568451,0.0,0.9999999999999999
DNM1,-0.14174333599007638,0.0713846594054316,0.00010121249762930005
DNTTIP1,0.413236407160524,0.016467536804545442,0.8529807011516609
DOCK8,-0.504998476998238,8.37373900426989e-07,0.9930970085944522
DPAGT1,0.39674687823366767,0.025215258216349838,0.8159836195929833
DRAP1,-0.2923279186099316,0.02976918976055731,0.46196129051462886
DYNLL1,-0.37046316002277774,0.00066476784637777,0.8134961184735379
EDC4,-0.3931613127435903,0.0071877139279690775,0.8336087966138885
EIF3F,0.30847331908702524,0.09367788232303476,0.5350670080850567
EIF3I,0.4175955282720067,0.005206847155944569,0.88066187358477
ENDOD1,-0.25180929318927187,7.634685185046505e-05,0.1611379392962709
EP300,0.602721528909672,2.0967087767166562e-05,0.9969573951837806
ERI3,0.23459536589075813,0.06811228388992864,0.1752129335682172
ETS1,-0.7168519774782649,5.870970618631929e-10,0.9999871172250345
EVI2B,0.23068247821612783,0.014773834389216305,0.12266803195533149
EXOC1,0.3523863654698115,0.06380394877132858,0.6923979868895027
EXOC3L2,0.23539869091607396,0.028304182237446816,0.15785270324362505
EXOSC10,0.34014444361863155,0.08425942378814977,0.6498731365587639
EXOSC5,0.3168143961339431,0.01947887515100663,0.5793642370560055
F8A1,-0.37346612009357755,0.03958589579587475,0.7570853653320276
FAM200B,-0.2765767342710549,3.669039903030591e-07,0.29919453450528655
FAM208A,-0.17256707764399576,0.009762740943353805,0.0015742028103769296
FANCD2,-0.4219182207996161,0.0022373684224252454,0.8983908723653563
FASTKD3,-0.2644661378616256,0.011146135765933653,0.29780440229764565
FBXO42,-0.5230282922883875,7.186606307479492e-06,0.9922330483231848
FLCN,0.36901706998473843,0.000546487993424482,0.8121608428126132
FOXP3,1.388064784166783,0.0,1.0
FSHB,0.23445424641269358,2.3374390423214208e-09,0.025071187726850463
GADD45B,0.3480051754557868,0.0005999291124785882,0.7421679393428823
GANAB,0.38084963015229073,0.09250541793462701,0.7522210013350993
GAPT,0.19961621060215137,0.0033383527045925767,0.015214939306494424
GFER,0.49477873264969074,0.0,0.9999159616219496
GGNBP2,-0.3001730628489212,0.022913832239829297,0.5008556863992234
GMPPB,0.7487551374687382,8.29832981157054e-09,0.9999779582631201
GPN1,0.380774466266768,0.07701417136108002,0.7577349204066872
GPR153,0.24632548160364667,5.280478703177896e-05,0.12600069000809955
GPR83,-0.19437708998759995,0.08765992850273512,0.038767402125731314
GRB2,-0.621252635383179,9.41962954342787e-12,0.9999742008962548
GRM4,-0.25845647284614304,0.08380628528723164,0.299882166794889
GTF2B,0.3261297559265931,0.09250541793462701,0.6015325163954789
GYLTL1B,-0.23740247056054437,0.06811228388992864,0.18867825791420906
H3F3B,-0.4381677297634486,2.6615163771109575e-07,0.976199360771122
HIRA,-0.3912630092130914,0.08970467205760427,0.7743012930082559
HNRNPD,0.24867733086873312,0.09575397879968552,0.25474677582735966
HNRNPF,-0.3044634414571359,0.03223808599744225,0.5211023578185958
HSCB,-0.34235910521618573,0.0006720723356056711,0.7185721209755228
HSP90B1,0.2489514357067025,0.06380394877132858,0.24411829835772653
